Original_name,Cleaned_name, filter
Media information and communication technologies sector education and training authority,Media information and communication technologies sector education and training authority,TRUE
Medical research council of south africa,Medical research council of south africa,TRUE
Merafong local municipality,Merafong local municipality,TRUE
Merseta,Merseta,TRUE
Metsimaholo local municipality,Metsimaholo local municipality,TRUE
Mhlontlo local municipality,Mhlontlo local municipality,TRUE
Midvaal local municipality,Midvaal local municipality,TRUE
Mineral resources and energy,Mineral resources and energy,TRUE
Mkhondo local municipality,Mkhondo local municipality,TRUE
Modimolle-mookgophong local municipality,Modimolle-mookgophong local municipality,TRUE
Mogalakwena local municipality,Mogalakwena local municipality,TRUE
Mogale city local municipality,Mogale city local municipality,TRUE
Mohokare local municipality,Mohokare local municipality,TRUE
Molemole municipality,Molemole municipality,TRUE
Moqhaka local municipality,Moqhaka local municipality,TRUE
Moses kotane institute,Moses kotane institute,TRUE
Mossel bay municipality,Mossel bay municipality,TRUE
Mpumalanga - community safety security and liaison,Mpumalanga - community safety security and liaison,TRUE
Mpumalanga - cooperative governance and traditional affairs,Mpumalanga - cooperative governance and traditional affairs,TRUE
Mpumalanga - culture sport and recreation,Mpumalanga - culture sport and recreation,TRUE
Mpumalanga - agriculture rural development and land administration,"Mpumalanga - agriculture, rural development, land and environmental affairs",FALSE
"Mpumalanga - department of agriculture, rural development, land and environmental affairs","Mpumalanga - agriculture, rural development, land and environmental affairs",FALSE
"Mpumalanga - department of economic development, tourism and environmental affairs",Mpumalanga - economic development environment and tourism,FALSE
Mpumalanga - economic development environment and tourism,Mpumalanga - economic development environment and tourism,TRUE
Mpumalanga - mpumalanga economic growth agency (mega),Mpumalanga - economic growth agency (mega),FALSE
Mpumalanga economic growth agency,Mpumalanga - economic growth agency (mega),FALSE
Mpupalanga - mpumalanga economic growth agency,Mpumalanga - economic growth agency (mega),FALSE
Mpumalanga regional training trust,Mpumalanga - regional training trust,FALSE
Mpumalanga - regional training trust,Mpumalanga - regional training trust,TRUE
Mpumalanga economic regulator,Mpumalanga - economic regulator,FALSE
Mpumalanga - education,Mpumalanga - education,TRUE
Mpumalanga - finance,Mpumalanga - finance,TRUE
Mpumalanga - health,Mpumalanga - health,TRUE
Mpumalanga - human settlements,Mpumalanga - human settlements,TRUE
Mpumalanga - office of the premier,Mpumalanga - office of the premier,TRUE
Mpumalanga - provincial treasury,Mpumalanga - provincial treasury,TRUE
Mpumalanga provincial treasury,Mpumalanga - provincial treasury,FALSE
Mpumalanga - public works roads and transport,Mpumalanga - public works roads and transport,TRUE
Mpumalanga department of social development,Mpumalanga - social development,FALSE
Mpumalanga - mpumalanga gambling board (mgb),Mpumalanga - gambling board,FALSE
Mpumalanga - mpumalanga tourism  and parks agency (mtpa),Mpumalanga - tourism and parks agency (mtpa),FALSE
Mpumalanga - mpumalanga tourism and parks agency (mtpa),Mpumalanga - tourism and parks agency (mtpa),FALSE
Mpumalanga - mpumalanga tourism and parks board,Mpumalanga - tourism and parks agency (mtpa),FALSE
Mpupalanga - mpumalanga agricultural development corporation,Mpupalanga - agricultural development corporation,FALSE
Msukaligwa local municipality,Msukaligwa local municipality,TRUE
Msunduzi museum,Msunduzi museum,TRUE
Mthonjaneni local municipality,Mthonjaneni local municipality,TRUE
Musina local municipality,Musina local municipality,TRUE
Nala,Nala,TRUE
Namakwa district municipality,Namakwa district municipality,TRUE
Nelson mandela bay municipality,Nelson mandela bay municipality,TRUE
National agricultural makerting council,National agricultural makerting council,TRUE
Nelson mandela museum,Nelson mandela museum,TRUE
Ngqushwa local municipality,Ngqushwa local municipality,TRUE
Ngwathe local municipality,Ngwathe local municipality,TRUE
Nkangala district municipality,Nkangala district municipality,TRUE
Nketoana local municipality,Nketoana local municipality,TRUE
North west - department of  agriculture and rural development,North west - agriculture and rural development,FALSE
North west - department of  rural environment and agriculture development,North west - rural environment and agriculture development,FALSE
North west - department of agriculture and rural development,North west - agriculture and rural development,FALSE
North west - department of community safety and transport management,North west - community safety and transport management,FALSE
North west - department of culture arts and traditional affairs,North west - culture arts and traditional affairs,FALSE
North west - north west development corporation (pty) ltd,North west - development corporation,FALSE
North west development corporation,North west - development corporation,FALSE
North west - department of economy and enterprise development,North west - economy and enterprise development,FALSE
North west - department of education and sport development,North west - education and sport development,FALSE
North west - department of finance,North west - finance,FALSE
North west - north west gambling board,North west - gambling board,FALSE
North west - department of health,North west - health,FALSE
North west - north west housing corporation,North west - housing corporation,FALSE
North west housing corporation,North west - housing corporation,FALSE
North west - department of human settlements,North west - human settlements,FALSE
North west - mmabana sports and culture,North west - mmabana sports and culture,TRUE
North west - office of the premier,North west - office of the premier,TRUE
North west - north west parks and tourism board,North west - parks and tourism board,FALSE
North west parks board,North west - parks and tourism board,FALSE
North west tourism board,North west - parks and tourism board,FALSE
North west - department of public works and roads,North west - public works and roads,FALSE
North west - department of rural environment and agriculture development,North west - rural environment and agriculture development,FALSE
North west - department of social development,North west - social development,FALSE
Northern cape - agriculture and land reform,Northern cape - agriculture and land reform,TRUE
Northern cape - cooperative governance human settlement and traditional affairs,Northern cape - cooperative governance human settlement and traditional affairs,TRUE
Northern cape - economic development and tourism,Northern cape - economic development and tourism,TRUE
Northern cape department of education,Northern cape - education,FALSE
Northern cape - education,Northern cape - education,TRUE
Northern cape - environmental affairs and nature conservation,Northern cape - environmental affairs and nature conservation,TRUE
Northern cape - health,Northern cape - health,TRUE
Northern cape - northern cape liquor board,Northern cape - liquor board,FALSE
Northern cape liquor board,Northern cape - liquor board,FALSE
Northern cape provincial treasury,Northern cape - provincial treasury,FALSE
Northern cape - roads and public works,Northern cape - roads and public works,TRUE
Northern cape - social development,Northern cape - social development,TRUE
Northern cape - sport arts and culture,Northern cape - sport arts and culture,TRUE
Office of health standards compliance,Office of health standards compliance,TRUE
Office of health standards compliance (ohsc),Office of health standards compliance,FALSE
Office of the chief justice,Office of the chief justice,TRUE
Office of the ombud for financial service providers,Office of the ombud for financial service providers,TRUE
Office of the pension funds adjudicator,Office of the pension funds adjudicator,TRUE
Office of the premeir,Office of the premier,FALSE
Office of the premier,Office of the premier,TRUE
Okhahlamba local municipality,Okhahlamba local municipality,TRUE
Or tambo district municipality,Or tambo district municipality,TRUE
Oudtshoorn municipality,Oudtshoorn municipality,TRUE
Overberg district municipality,Overberg district municipality,TRUE
Overstrand municipality,Overstrand municipality,TRUE
Pan south african language board (pansalb),Pan south african language board (pansalb),TRUE
Passenger rail agency of south africa,Passenger rail agency of south africa,TRUE
Perishable products export control board,Perishable products export control board,TRUE
Petroleum agency sa,Petroleum agency sa,TRUE
Petrosa,Petrosa,TRUE
Phumelela local municipality,Phumelela local municipality,TRUE
Polokwane municipality,Polokwane municipality,TRUE
Port st johns local municipality,Port st johns local municipality,TRUE
Ports regulator of south africa,Ports regulator of south africa,TRUE
Prince albert municipality,Prince albert municipality,TRUE
Private security industry regulatory authority,Private security industry regulatory authority,TRUE
Public investment corporation,Public investment corporation,TRUE
Public service commission,Public service commission,TRUE
Public works,Public works,TRUE
Railway safety regulator,Railway safety regulator,TRUE
Rand water,Rand water,TRUE
Rand west local municipality,Rand west local municipality,TRUE
Ratlou local municipality,Ratlou local municipality,TRUE
Richards bay industrial development zone,Richards bay industrial development zone,TRUE
Road traffic management corporation,Road traffic management corporation,TRUE
Robben island museum,Robben island museum,TRUE
Sa police service,Sa police service,TRUE
Safety and security education and training authority,Safety and security education and training authority,TRUE
Sakhisizwe local municipality,Sakhisizwe local municipality,TRUE
Saldanha bay municipality,Saldanha bay municipality,TRUE
Sarah baartman district municipality,Sarah baartman district municipality,TRUE
Sasria limited,Sasria limited,TRUE
Sasria soc ltd,Sasria limited,FALSE
Sedibeng district municipality,Sedibeng district municipality,TRUE
Sedibeng water,Sedibeng water,TRUE
Sekhukhune district municipality,Sekhukhune district municipality,TRUE
Senqu local municipality,Senqu local municipality,TRUE
Services sector education and training authority,Services sector education and training authority,TRUE
Small business development,Small business development,TRUE
Small enteprise development agency (seda),Small enteprise development agency (seda),TRUE
Small enterprise development agency,Small enteprise development agency (seda),FALSE
