Item_desp,pay_num,category
A4 POSTERS,3784,A4 POSTERS
AA Battery 4’s,559,AA Battery 4’s
AAA BATTERIES(PACK OF 4X12),960,AAA BATTERIES(PACK OF 4X12)
Aankoop van Toileware,3029,Aankoop van Toileware
ACCOMMODATION,568710,ACCOMMODATION
ACCOMMODATION  AND MEALS,0,ACCOMMODATION  AND MEALS
ACCOMMODATION MONTHLY RENTAL FOR HEALTH PROFESSIONALS,0,ACCOMMODATION MONTHLY RENTAL FOR HEALTH PROFESSIONALS
Accomodation service,0,Accomodation service
ACJ PHAKADE PS,4637,ACJ PHAKADE PS
"ADMINISTRATION SET,INTRAVENOUS",0,"ADMINISTRATION SET,INTRAVENOUS"
Adult Diapers,12099,Adult Diapers
"Provision of cleaning services at Carltonville,Westonaria and Khutsong Magistrate Courts (JHBE 20/039)",328803,cleaning services
Adult Scale,0,Adult Scale
ADVERTISEMENT,3311854,ADVERTISEMENT
AFS:CUR EXP-COMPENS OF EMPLOYEES,43000,AFS:CUR EXP-COMPENS OF EMPLOYEES
Afternoon Snack,0,Afternoon Snack
AIR COMPRESSED SPRAY,7360,AIR COMPRESSED SPRAY
AIR FRESHENER,73105,AIR FRESHENER
Air Quality Testing - Free State,13570,Air Quality Testing - Free State
"Provision of cleaning services at Germiston, Hardach,Edenvale and Kemptonpark Magistrate Courts  (JHBE19/280)",503571,cleaning services
"Provision of cleaning services at Germiston, Hardach,Edenvale and Kemptonpark Magistrate Courts  (JHBE20/022)",431509,cleaning services
"Provision of cleaning services at Germiston, Hardach,Edenvale and Kemptonpark Magistrate Courts  (JHBE20/057)",382289,cleaning services
Alcohol Swabs (boxes of 100),30222,Alcohol Swabs (boxes of 100)
Alcohol wipes 100 tub,0,Alcohol wipes 100 tub
ALL IN ONE SPICE,91,ALL IN ONE SPICE
ALUMINIUM STAND AJUSTABLE,115860,ALUMINIUM STAND AJUSTABLE
AMBUBAG ADULTS,0,AMBUBAG ADULTS
AMBUBAG CHILD,0,AMBUBAG CHILD
AMBUBAG NEONATE,0,AMBUBAG NEONATE
AMEC VIRGIN BAG 200X300X20MIC,2055,AMEC VIRGIN BAG 200X300X20MIC
ANAESTHESIA SET,0,ANAESTHESIA SET
ANAESTHETIC MACHINE,0,ANAESTHETIC MACHINE
Anaesthetic trolley (with 1 drawer),0,Anaesthetic trolley (with 1 drawer)
Anaesthetic trolley (with 1drawer),0,Anaesthetic trolley (with 1drawer)
"Analyser, blood gas, high volume",0,"Analyser, blood gas, high volume"
"Analyser, glucose (glucometer)",0,"Analyser, glucose (glucometer)"
"Analyser, Glucose (Glucometer) (In stock)",0,"Analyser, Glucose (Glucometer) (In stock)"
"ANALYSER,BLOOD GAS",0,"ANALYSER,BLOOD GAS"
"ANALYSER,BLOOD GAS (COVID-19)",0,"ANALYSER,BLOOD GAS (COVID-19)"
Analyzer blood gas device,0,Analyzer blood gas device
Analyzer blood gas fluid pCO2 and pO2,0,Analyzer blood gas fluid pCO2 and pO2
Andre Vermaak Consulting on corona virus,12500,Andre Vermaak Consulting on corona virus
Anesthesia machine with modular monitor,0,Anesthesia machine with modular monitor
ANTI FREEZE RYAN 25L,2588,ANTI FREEZE RYAN 25L
"Provision of cleaning services at Hillbrow Magistrate Court, Labour Court, Master of the High Court, Justice Regional Officeand JHB Regional Office. (JHBE19/277)",661362,cleaning services
Antiseptic chlorhexidine 0 2% 5l bottle,0,Antiseptic chlorhexidine 0 2% 5l bottle
Antiseptic chlorhexidine 2% 5l bottle,0,Antiseptic chlorhexidine 2% 5l bottle
Approved by: Thabo Panyani,0,Approved by: Thabo Panyani
"APR. COVID FD,FRSH&OP-PSFA-C1",241236,"APR. COVID FD,FRSH&OP-PSFA-C1"
"APR. COVID FD,FRSH&OP-PSFA-C2",314248,"APR. COVID FD,FRSH&OP-PSFA-C2"
"APR. COVID FD,FRSH&OP-PSFA-E1",388788,"APR. COVID FD,FRSH&OP-PSFA-E1"
"APR. COVID FD,FRSH&OP-PSFA-E2",705803,"APR. COVID FD,FRSH&OP-PSFA-E2"
"APR. COVID FD,FRSH&OP-PSFA-N1",180135,"APR. COVID FD,FRSH&OP-PSFA-N1"
"APR. COVID FD,FRSH&OP-PSFA-N2",252721,"APR. COVID FD,FRSH&OP-PSFA-N2"
"APR. COVID FD,FRSH&OP-PSFA-S1",140236,"APR. COVID FD,FRSH&OP-PSFA-S1"
"APR. COVID FD,FRSH&OP-PSFA-S2",185949,"APR. COVID FD,FRSH&OP-PSFA-S2"
"APR.2 COVID FOOD,FRSH&OP-BOLD-D4",255083,"APR.2 COVID FOOD,FRSH&OP-BOLD-D4"
"APR.2 COVID FOOD,FRSH&OP-BOLD-D5",289305,"APR.2 COVID FOOD,FRSH&OP-BOLD-D5"
"APR.6 COVID FD,FRSH&OPS-BOLD-WC3",37367,"APR.6 COVID FD,FRSH&OPS-BOLD-WC3"
"APR.6 COVID FD,FRSH&OPS-BOLDW-O1",282871,"APR.6 COVID FD,FRSH&OPS-BOLDW-O1"
"APR.6 COVID FD,FRSH&OPS-BOLDW-O2",122344,"APR.6 COVID FD,FRSH&OPS-BOLDW-O2"
APR.6 COVID FD&FRSH-BOLDW-WC2,201828,APR.6 COVID FD&FRSH-BOLDW-WC2
APR.NO.2 COVID FOOD&FRSH-BOLD-D1,262354,APR.NO.2 COVID FOOD&FRSH-BOLD-D1
APR.NO.2 COVID FOOD&FRSH-BOLD-D2,198887,APR.NO.2 COVID FOOD&FRSH-BOLD-D2
APR.NO.2 COVID FOOD&FRSH-BOLD-D3,249607,APR.NO.2 COVID FOOD&FRSH-BOLD-D3
APR.NO.5 COVID FRESH-MOKGATS-CW2,6485,APR.NO.5 COVID FRESH-MOKGATS-CW2
APR.NO.7 COVID OPERA.-BOLDWEN-D5,33341,APR.NO.7 COVID OPERA.-BOLDWEN-D5
Apron,29470,Apron
"Provision of cleaning services at Hillbrow Magistrate Court, Labour Court, Master of the High Court, Justice Regional Officeand JHB Regional Office. (JHBE20/019",1201984,cleaning services
"Provision of cleaning services at Meadowlands,Orlando, Kliptownand Lenasia Magistrate Courts (JHBE19/275)",541998,cleaning services
"Provision of cleaning services at Meadowlands,Orlando, Kliptownand Lenasia Magistrate Courts (JHBE20/017)",765807,cleaning services
"Provision of cleaning services at Meadowlands,Orlando, Kliptownand Lenasia Magistrate Courts (JHBE20/052)",313692,cleaning services
"Provision of cleaning services at Nigel, Brakpan, Springs and Daveyton Magistrate Courts (JHBE19/281)",1035742,cleaning services
"Provision of cleaning services at Nigel, Brakpan, Springs and Daveyton Magistrate Courts (JHBE20/023)",1007778,cleaning services
Apron no-noise smooth plastic blue,0,Apron no-noise smooth plastic blue
Apron plastic full body red sigle use,0,Apron plastic full body red sigle use
Apron radiation 2 sided o.25mmPb x-large,0,Apron radiation 2 sided o.25mmPb x-large
Apron radiation Large,0,Apron radiation Large
Apron radiation medium,0,Apron radiation medium
Apron radiation small,0,Apron radiation small
Apron radiation X-large,0,Apron radiation X-large
APRONS WHITE PLASTIC,0,APRONS WHITE PLASTIC
"Aprons,",0,"Aprons,"
"Aprons, lead (L)",0,"Aprons, lead (L)"
"Aprons, lead (M)",0,"Aprons, lead (M)"
"Aprons, lead (S)",0,"Aprons, lead (S)"
"Aprons, lead (XL)",0,"Aprons, lead (XL)"
"Provision of cleaning services at Office of State Attorney, Labour Court, Specialised Commercial Crime Court, Schrenner Chambers. (JHBE20/054)",531037,cleaning services
AUTOCLAVE,0,AUTOCLAVE
Provision of cleaning services at Orlando Magistrate Court (JHBE20/093),153281,cleaning services
Automatic sensor dispenser sanitazer holders (mounted),11376,Automatic sensor dispenser sanitazer holders (mounted)
AWARENESS,90000,AWARENESS
BACTROJELL 5L,3152,BACTROJELL 5L
BAG,0,BAG
BAG COMPACT MOBILE,26723,BAG COMPACT MOBILE
"Bag oxygen/ventilator 22x4-3/4x11-1/2""",0,"Bag oxygen/ventilator 22x4-3/4x11-1/2"""
BAIR HUGGER,0,BAIR HUGGER
BAIR HUGGER Blankets,0,BAIR HUGGER Blankets
BAKED BEANS 410GR,239760,BAKED BEANS 410GR
Bakkie hire - Covid-19 food parcels,23836,Bakkie hire - Covid-19 food parcels
Bakkie rental for Covid-19,26700,Bakkie rental for Covid-19
BANDANA-TUBULAR BANDANA,11213,BANDANA-TUBULAR BANDANA
Banner Wall Media BackDrop (6x20),0,Banner Wall Media BackDrop (6x20)
Banners,42262,Banners
Barrier Tape - Red / White,11600,Barrier Tape - Red / White
BASE PLATE INSULATED,0,BASE PLATE INSULATED
Basic Covid-19 training for 84 people,89550,Basic Covid-19 training for 84 people
Basin kick about,0,Basin kick about
BATHROOM SCALE ELECTRONIC,0,BATHROOM SCALE ELECTRONIC
BATTERIES,3100,BATTERIES
BATTERIES AA 4PACK,195,BATTERIES AA 4PACK
Batteries for automatic devise for hand sanitizer,2454,Batteries for automatic devise for hand sanitizer
Batteries for thermo monitor,50,Batteries for thermo monitor
Batteries for thermometers,733,Batteries for thermometers
Batteries for Thermostat (Duracell),80,Batteries for Thermostat (Duracell)
Battery monitor deskt GE HEALTHCARE V100,0,Battery monitor deskt GE HEALTHCARE V100
Battery monitor desktop Biolight V6,0,Battery monitor desktop Biolight V6
Battery monitor trolley Biolight V6,0,Battery monitor trolley Biolight V6
Battery monitor trolley Mindray VS800,0,Battery monitor trolley Mindray VS800
BATTERY PACK ÄULTRA SUCTION UNIT MOBILE BATTERY OPERATED,0,BATTERY PACK ÄULTRA SUCTION UNIT MOBILE BATTERY OPERATED
"BATTERY,NON RECHARGEABLE LITHIUM REPLACEMENT KIT",0,"BATTERY,NON RECHARGEABLE LITHIUM REPLACEMENT KIT"
battries for labeling machine,120,battries for labeling machine
BBQ MIX FRY,1584,BBQ MIX FRY
Bed (ICU) 4-section electric hi-lo,0,Bed (ICU) 4-section electric hi-lo
Bed delivery birth right electrically,0,Bed delivery birth right electrically
Bed domestic three quaters 107x188cm,0,Bed domestic three quaters 107x188cm
Bed electric entry level ICU,0,Bed electric entry level ICU
Bed high end icu with bio contour 250kg,0,Bed high end icu with bio contour 250kg
BED HIGH/LOW ADJUSTABLE,0,BED HIGH/LOW ADJUSTABLE
Bed hospital bariatric model5837-54 flex,0,Bed hospital bariatric model5837-54 flex
Bed hospital electric 2200x1000 mattress,0,Bed hospital electric 2200x1000 mattress
Bed hospital high low,0,Bed hospital high low
Bed hospital high-low,0,Bed hospital high-low
Bed hospital high-low RT24-02-005,0,Bed hospital high-low RT24-02-005
Bed hospital high-low RT24-02-006ME,0,Bed hospital high-low RT24-02-006ME
BED HOSPITAL INTENSIVE CARE,0,BED HOSPITAL INTENSIVE CARE
Bed hospital intensive care RT24-02-007,0,Bed hospital intensive care RT24-02-007
Bed hospital obstetic var hght & mattres,0,Bed hospital obstetic var hght & mattres
Bed hospital obstetric RT24-02-009,0,Bed hospital obstetric RT24-02-009
Bed hospital two section,0,Bed hospital two section
Bed hospital two section RT24-02-001ME,0,Bed hospital two section RT24-02-001ME
Bed hospital two section RT24-02-003,0,Bed hospital two section RT24-02-003
Bed ICU end unit supa wood-finish formic,0,Bed ICU end unit supa wood-finish formic
Bed Medical,27361,Bed Medical
Bed screens,0,Bed screens
"BED, HOSPITAL ADJUSTABLEE",55129,"BED, HOSPITAL ADJUSTABLEE"
"Bed, Hospital, Patient",0,"Bed, Hospital, Patient"
"Bed, patient, ICU Electric",0,"Bed, patient, ICU Electric"
"Bed, Patient, ICU, Electric (not on RT24",0,"Bed, Patient, ICU, Electric (not on RT24"
"BED,MEDICAL",0,"BED,MEDICAL"
"BED,MEDICAL EXAMINATION ADJUSTABLE",0,"BED,MEDICAL EXAMINATION ADJUSTABLE"
BEDPAN .,174954,BEDPAN .
Bedpan and urinal stand,0,Bedpan and urinal stand
BEDPAN SLIP,0,BEDPAN SLIP
Bedpan slip-in with handle,0,Bedpan slip-in with handle
BEDPAN STAINLESS STEEL,0,BEDPAN STAINLESS STEEL
"Bedpan, adult",0,"Bedpan, adult"
Bedside cabinet( locker),0,Bedside cabinet( locker)
Bedside locker,0,Bedside locker
Bedside Lockers,0,Bedside Lockers
Provision of cleaning services at Randburg Land Claims Court and Midrand Branch Court (JHBE20/055),584820,cleaning services
BIDVEST STEINER HAND SANITISER SPRAY BOTTLE 1L,1308,BIDVEST STEINER HAND SANITISER SPRAY BOTTLE 1L
BIN PEDAL GREY 40LT,15777,BIN PEDAL GREY 40LT
Bin waste recycle peak top s/s 46l,0,Bin waste recycle peak top s/s 46l
Bin wheelie 200-300 litre type B reusble,0,Bin wheelie 200-300 litre type B reusble
Biocide D,198720,Biocide D
BIOLOGIC SUIT,5398,BIOLOGIC SUIT
Blankets barney wool BROWN,0,Blankets barney wool BROWN
BLANKETS COVID 19,23849,BLANKETS COVID 19
Blankets wool blue,0,Blankets wool blue
Bleach,80000,Bleach
Blender Air/Oxygen ( Oxygen stand ) need to corrected,0,Blender Air/Oxygen ( Oxygen stand ) need to corrected
"Blender, Air/Oxygen, High Flow",0,"Blender, Air/Oxygen, High Flow"
"BLOCKER,ENDOBRONCHIAL 2-L 35FR L,116100-000350",11625,"BLOCKER,ENDOBRONCHIAL 2-L 35FR L,116100-000350"
Blood gas machine,0,Blood gas machine
Blood recovery set aspiration,297618,Blood recovery set aspiration
Body bag disposable plastic large,0,Body bag disposable plastic large
Body bag disposable plastic x-large,0,Body bag disposable plastic x-large
Body bag plastic with zip 70x90cm,0,Body bag plastic with zip 70x90cm
Body bag waterproof with side zip large,0,Body bag waterproof with side zip large
Body bag waterproof with side zip medium,0,Body bag waterproof with side zip medium
"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE19/278)",482822,cleaning services
"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE20/020)",86934,cleaning services
"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE19/274)",1096081,cleaning services
"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE20/016)",596289,cleaning services
"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE20/048)",1728480,cleaning services
Provision of cleaning services at South Gauteng High Court (JHBE19/276),908524,cleaning services
Provision of cleaning services at South Gauteng High Court (JHBE20/018),2460462,cleaning services
Provision of cleaning services at South Gauteng High Court (JHBE20/053),915408,cleaning services
Provision of cleaning services at South Gauteng High Court (JHBE20/094),262225,cleaning services
Provision of cleaning services at Specialised Commercial Crime Court and Schreinner Chambers. (JHBE20/080),235240,cleaning services
Provision of cleaning services at Vereeniging and Sebokeng Magistrate Courts  (JHBE19/279),709996,cleaning services
Provision of cleaning services at Vereeniging and Sebokeng Magistrate Courts  (JHBE20/021),847440,cleaning services
Provision of cleaning services at Vereeniging and Sebokeng Magistrate Courts  (JHBE20/056),330512,cleaning services
Body bags disposable beige medium FPS,0,Body bags disposable beige medium FPS
Body Temperature Thermal Cameras,17320,Body Temperature Thermal Cameras
Bodysuit proctective non woven large,0,Bodysuit proctective non woven large
Bodysuit proctective non woven medium,0,Bodysuit proctective non woven medium
Bodysuit proctective non woven x-large,0,Bodysuit proctective non woven x-large
Bodysuit proctective non woven xx-large,0,Bodysuit proctective non woven xx-large
Bodysuit proctective non woven xxx-large,0,Bodysuit proctective non woven xxx-large
Provision of cleaning services at Vereeniging Magistrate Court (JHBE20/082),352632,cleaning services
Provision of cleaning services at Vosloorus and Heidelberg Magistrate Courts (JHBE20/059),235410,cleaning services
Bonnets ventilator contin 42272220-00009,0,Bonnets ventilator contin 42272220-00009
BOOK,0,BOOK
Boot covers,31020,Boot covers
Boot shoe covers,2591,Boot shoe covers
"Provision of cleaning services at Vosloorus, Heidelberg and Benoni Magistrate Courts (JHBE19/282)",908966,cleaning services
Bottle spray,0,Bottle spray
BOTTLE SPRAY TRIGGER,4757,BOTTLE SPRAY TRIGGER
Bottle with Spray,6000,Bottle with Spray
Bottle; Spray Bottle,49890,Bottle; Spray Bottle
Bottle: Spray Bottle,40000,Bottle: Spray Bottle
Bottled water,640,Bottled water
BOX,0,BOX
"Provision of cleaning services at Vosloorus, Heidelberg and Benoni Magistrate Courts (JHBE20/024)",1289694,cleaning services
BOX COOLER 2L,4046,BOX COOLER 2L
Box cooler vaccine storage 3l,0,Box cooler vaccine storage 3l
Box of Gloves,0,Box of Gloves
Box Viewing X-Ray Image Take 2 Film,0,Box Viewing X-Ray Image Take 2 Film
BOXES OF MULTIPURPOSE DISINTECTANT SPRAYS,0,BOXES OF MULTIPURPOSE DISINTECTANT SPRAYS
PPE017 2 Layer fabric cloth masks,99696041,cloth masks
Bracket wall basic monitor,0,Bracket wall basic monitor
Bracket wall basic monitor D/Vista 120,0,Bracket wall basic monitor D/Vista 120
Bracket wall basic monitor MDRUMEC10,0,Bracket wall basic monitor MDRUMEC10
Bracket wall for Monitor Modular Edan v6,0,Bracket wall for Monitor Modular Edan v6
Bracket wall for monitor modular T6,0,Bracket wall for monitor modular T6
Bracket wall monitor GE HEALTHCARE B450,0,Bracket wall monitor GE HEALTHCARE B450
Bracket wall monitor GE HEALTHCARE CARES,0,Bracket wall monitor GE HEALTHCARE CARES
Bracket wall monitor modular BLT Q7,0,Bracket wall monitor modular BLT Q7
Bracket wall monitor Nihon KohdenBSM3760,0,Bracket wall monitor Nihon KohdenBSM3760
"BRACKET,MOUNTING",0,"BRACKET,MOUNTING"
"BRACKET,MOUNTING WALL",0,"BRACKET,MOUNTING WALL"
PPE018 3 Layer fabric cloth masks,192802513,cloth masks
Breathing circuit universal adult 2 6m,0,Breathing circuit universal adult 2 6m
Breathing filter peadiatric,0,Breathing filter peadiatric
BREYANI SPICE,97,BREYANI SPICE
BRITESEPT HAND SOAP 5LT,1394,BRITESEPT HAND SOAP 5LT
PPE018 3 Layer fabric special cloth masks,67583,cloth masks
BUCKET,0,BUCKET
Bucket for kick-about 14L,0,Bucket for kick-about 14L
BUCKETS OF ALCOHOL DISINFECTANT CLEANING WIPES,0,BUCKETS OF ALCOHOL DISINFECTANT CLEANING WIPES
BUFFING AND POLISHING MACHINE,0,BUFFING AND POLISHING MACHINE
BUILDING,76943,BUILDING
Building and Construction service,0,Building and Construction service
BUKETS AND SANITISER,550,BUKETS AND SANITISER
Bullet & Cap,39,Bullet & Cap
C-Arm,0,C-Arm
CABINET,0,CABINET
Cabinet control & monitor valuable asset,0,Cabinet control & monitor valuable asset
Cabinet medicine mobile,0,Cabinet medicine mobile
cabinet medicine trolley,0,cabinet medicine trolley
Cabinet poison/drug large wall type,0,Cabinet poison/drug large wall type
Cabinet utility mobile,0,Cabinet utility mobile
"Cabinet, Drug/Poison, Wall Mounted",0,"Cabinet, Drug/Poison, Wall Mounted"
"Cabinet, Medicine, Mobile",0,"Cabinet, Medicine, Mobile"
"Cabinet, Poison/Drug, Wall Mounted",0,"Cabinet, Poison/Drug, Wall Mounted"
"Cabinet, Utility Mobile",0,"Cabinet, Utility Mobile"
"Cabinet, utility, mobile",0,"Cabinet, utility, mobile"
"CABINET,MEDICAL",0,"CABINET,MEDICAL"
"CABINET,MEDICAL  MEDICINE;MOBILE",0,"CABINET,MEDICAL  MEDICINE;MOBILE"
Cable interface monitor modular B650,0,Cable interface monitor modular B650
Cable lifescope bedside monitor 3 lead,0,Cable lifescope bedside monitor 3 lead
Cable SPO2 basic monitor B20+Masimo,0,Cable SPO2 basic monitor B20+Masimo
Cable SPO2 basic monitor CONTEC CMS6000,0,Cable SPO2 basic monitor CONTEC CMS6000
Cable SPO2 basic monitor Edan iM80 PM,0,Cable SPO2 basic monitor Edan iM80 PM
Cable ties for bin liners,0,Cable ties for bin liners
"CANNULA,INTRA UTERINE",0,"CANNULA,INTRA UTERINE"
"CANNULA,INTRAVENOUS JELCO GREY 16G",0,"CANNULA,INTRAVENOUS JELCO GREY 16G"
"CANNULA,NASAL,OXYGEN",0,"CANNULA,NASAL,OXYGEN"
"CANNULA,NASAL,OXYGEN INFANT CODE 1601 SALTER LABS",0,"CANNULA,NASAL,OXYGEN INFANT CODE 1601 SALTER LABS"
Canon AP40 300 Ultrasound,825759,Canon AP40 300 Ultrasound
Cap mop non-woven navy disp 100/pack,524966,Cap mop non-woven navy disp 100/pack
Cap theater,353280,Cap theater
Cap theater boufant white 100/pack,0,Cap theater boufant white 100/pack
Cap theatre balaclava single use 100s,144200,Cap theatre balaclava single use 100s
Cap theatre beret single use 100s,43200,Cap theatre beret single use 100s
Cap theatre bonet disposable blue 100/pk,0,Cap theatre bonet disposable blue 100/pk
Cap theatre bonnet type single use 100,716310,Cap theatre bonnet type single use 100
"CAP,BREATHING CIRCUIT",0,"CAP,BREATHING CIRCUIT"
Cardiac monitor and wall bracket,0,Cardiac monitor and wall bracket
Cardiac tables,0,Cardiac tables
cardiac tralley table RT24-07-003,0,cardiac tralley table RT24-07-003
CARDIAC UNIT,0,CARDIAC UNIT
CARDIOSCOPE,0,CARDIOSCOPE
Cardiotocograph ext monitoring COMEN,0,Cardiotocograph ext monitoring COMEN
Cardiotograph external Edan Instrument,0,Cardiotograph external Edan Instrument
Carpet Cleaning & Sanitise,33925,Carpet Cleaning & Sanitise
Carrier soiled linen plastic box,0,Carrier soiled linen plastic box
Carrier soiled linen with receptacle,0,Carrier soiled linen with receptacle
Carry Folder a4 size unit files,0,Carry Folder a4 size unit files
"CASSETTE,X-RAY",0,"CASSETTE,X-RAY"
CATERING,0,CATERING
