Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,order_num,Date_payments,pay_num
Gauteng - Infrastructure Development,Infrastructure,Matimba Yeru Energy,Container Sanitizer 25 Litres,1931.35,560,25 Litre,,1081598,,1081598
Gauteng - Infrastructure Development,Infrastructure,Mphotsentle Divine Projects,"Deep Cleaning of 11 Diagonal Building, Sebokeng Hospital Workshop, Tembisa Hospital and Thelle Mogoerane",25,9145,per m2,,228803.5,,228804
Gauteng - Infrastructure Development,Infrastructure,Rebane Business Enterprise,"Deep Cleaning of Carletonville, 18 Rissik Street and Westhoven",8.34,7925,per m2,,66140,,66140
Gauteng - Infrastructure Development,Infrastructure,TES Cleaning,Deep Cleaning of Corner House,25,3816,per m2,,95400,,95400
Gauteng - Infrastructure Development,Infrastructure,Akena Trading and Projects,"Deep Cleaning of Discoverers Workshop, Masakhane Workshop, Luandry, Pholosong and Chris Hani Barangwanath Hospital",28,5059,per m2,,162899,,162900
Gauteng - Infrastructure Development,Infrastructure,TES Cleaning,Deep Cleaning of Kopanong Workshop,35,84,25 Litre,,2940,,2940
Gauteng - Infrastructure Development,Infrastructure,Mafanisa A Trading,"Deep Cleaning of Mamelodi Hospital Workshop, 18 Rissik Street and Thelle Mogoarane",27.2,11568,per m2,,361847.04,,361847
Gauteng - Infrastructure Development,Infrastructure,Concor Construction,"Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",0,0,Other UOM,,268095000,,0
Gauteng - Infrastructure Development,Infrastructure,Condocor (Pty) Ltd,"Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",0,0,Other UOM,,220774176.35,,0
Gauteng - Infrastructure Development,Infrastructure,Shomang Contruction CC,"Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",0,0,Other UOM,,233590803,,0
Gauteng - Infrastructure Development,Infrastructure,Enza Construction,"Designed, Construction and Commissioning of Hospital Facility Consisting of 500 ICU bed units on Turn key basis",0,0,Other UOM,,496616790.3,,0
Gauteng - Infrastructure Development,Infrastructure,Mr. Craig Newman- Nasrec Expo Centre,Disaster Medical Centre for Covid 19,0,0,Other UOM,,0,,0
Gauteng - Infrastructure Development,Infrastructure,TES Cleaning,Disinfection  of Discoverers Building,11,640,per m2,,119680,,63392
Gauteng - Infrastructure Development,Infrastructure,KEO Group,Dispenser Dismed touchless sanitiser,3424.44,144,Each,,493120.8,,493121
Gauteng - Infrastructure Development,Infrastructure,Dalcy Enterprise,Dusks Mask Various Sizes 2020 FFP2,36.6,6000,Each,,219600,,209974
Gauteng - Infrastructure Development,Infrastructure,Cocase South Africa,Fumigation Services,12,2809728,per m2,,33717736,,33716736
Gauteng - Infrastructure Development,Infrastructure,Akane Trading and Projects,Fumigation Services,8.46,302508,per m2,,2559217,,2559217
Gauteng - Infrastructure Development,Infrastructure,Ambroser Solutions,Fumigation Services,10.5,3045924,per m2,,31982202,,31982190
Gauteng - Infrastructure Development,Infrastructure,TES Cleaning,Fumigation Services,11.99,351864,per m2,,3870504,,3870494
Gauteng - Infrastructure Development,Infrastructure,KEO Group,Fumigation Services,10.25,3898821,per m2,,39962915,,39350307
Gauteng - Infrastructure Development,Infrastructure,Lucage Trading and projects,Fumigation Services,13,812349,per m2,,10560537,,10560537
Gauteng - Infrastructure Development,Infrastructure,Mr. Craig Newman- Nasrec Expo Centre,Procurement to establish Field hospital for hospital capabilities for Isolation covid Infrastructure,0,0,Other UOM,,0,,0
Gauteng - Infrastructure Development,Infrastructure,Kokwane Holdings (Pty) Ltd,Provision of General Building work related at Discovery Hospital for a period of 4 months,0,0,Other UOM,,37917887.71,,0
Gauteng - Infrastructure Development,Infrastructure,Maziya General Services CC,Provision of General Building work related at DR. George Mukhari Hospital for a period of 4 months,0,0,Other UOM,,186006274.02,,0
Gauteng - Infrastructure Development,Infrastructure,QDS Projects,Provision of General Building work related at Lanasia CHC for a period of 2 months,0,0,Other UOM,,34966132.13,,0
Gauteng - Infrastructure Development,Infrastructure,QDS Projects,Provision of General Building work related at Tshwane District (Steve Biko Cluster) for a period of 3 months,0,0,Other UOM,,54762230.71,,0
Gauteng - Infrastructure Development,Infrastructure,Makhado Project Management,"Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 37,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",0,0,Other UOM,,118452735.52,,0
Gauteng - Infrastructure Development,Infrastructure,Diphatse Trading and Projects  / MJR Trading and Services Pty Ltd,"Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",0,0,Other UOM,,132227265.03,,0
Gauteng - Infrastructure Development,Infrastructure,Mvusuludzo  Projects Pty Ltd,"Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services  Level 7,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",0,0,Other UOM,,48106489.63,,0
Gauteng - Infrastructure Development,Infrastructure,Thenga Holdings Pty Ltd,"Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",0,0,Other UOM,,49540108.2,,0
Gauteng - Infrastructure Development,Infrastructure,Yikusasa Building Contractors SA Pty Ltd,"Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients -General related building services  (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",0,0,Other UOM,,89406591.58,,0
Gauteng - Infrastructure Development,Infrastructure,NJR Projects,"Refurbishment of exististing Anglogold Ashante Mine Hospital to accommodated covid 19 patients  -Mechanical related services s at Anglogold Health Services (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",0,0,Other UOM,,56808184.33,,0
Gauteng - Infrastructure Development,Infrastructure,Bruzar Consulting Engineers,"Solution hand rub sanitizer5L, Container Plastic with lid 550x350x185mm and Jug Measuring 5L capacity Plastic",0,0,Each,,356314,,356315
