Supplier_name,CSD_Registration_No,pay_num,No_of_orders,order_num,Count_of_institutions_serviced,Director
2K S CONSTRUCTION AND PROJECTS,MAAA0187099,902394.87,1,992105,1,KWAKWENI NCEBA
2MA TRADING SERVICES,MAAA0953666,0,1,31717,1,NKOANE ROBISON RAMAPANTA
2MAMNA TRADING ENTERPRISE,MAAA1047145,30000,1,30000,1,MTHETHANDABA NANDIPHA
3 DAUGHTERS TRADING ENTERPRISE,MAAA0026822,745844,3,1146659.25,3,NGWENYA Cecilia
3 DAUGHTERS TRADING ENTERPRISE,MAAA0026822,745844,3,1146659.25,3,RADEBE THEODORE MTHUNZI
3 GEMS CONSULTING,MAAA0666055,720000,1,720000,1,MODISE LORAINE
3 INONE  PROJECTS,MAAA1007426,13241,5,18622,5,MULLER ANTHONY LESLEY ADAM
3 JUNCTION PROJECTS,MAAA0441841,1296,2,1296.6,2,MTHIMUNYE JABULANI MANDLA
302K EMPORIUM,MAAA0887937,141925,6,141925,6,LEKALAKALA KHOLOFELO REBECCA EVA
313 PLANT HIRE,MAAA0669662,0,1,6250000,1,MAHLATJI MACKSON MOTALANE
313 PLANT HIRE,MAAA0669662,0,1,6250000,1,MAHLATJI NKWANE ARIEL
360 FOGGING SA,MAAA0931040,13070.9,9,7360,9,LATEGAN TIAAN
360 FOGGING SA,MAAA0931040,13070.9,9,7360,9,VAN HEERDEN EDUAN
38 AVENUE BUSINESS PROJECTS,MAAA0230904,897000,1,897000,1,NDLOVU MANDLA
3B TECHNICAL SERVICES,MAAA0041527,391,1,1173,1,KHALISHWAYO LINA BEAUTY
3B TECHNICAL SERVICES,MAAA0041527,391,1,1173,1,KOLA TSHEPO JAPHTA
3B TECHNICAL SERVICES,MAAA0041527,391,1,1173,1,SHILAKWE ROSELIA
3B'S SUPPLYING AND TRAINING,MAAA0017080,0,1,9750,1,MQOBONGO BUYISILE
3D MEDICAL,MAAA0361127,-647208,1,-647208,1,MOHOLOA MAOPA GIVEN
3D TECHNOLOGIES AND PROJECTS,MAAA0758843,79316.16,1,79316.16,1,RAMOBA FRANS TEBOGO
3GEMS COMMUNICATIONS,MAAA0354442,24838,1,24838,1,MPAKETSANE ERNEST MAUSHE
3M SOUTH AFRICA,MAAA0018998,0,1,1654950,1,NGIDI THAKAZELWA YESIBILI
3M SOUTH AFRICA,MAAA0018998,0,1,1654950,1,NGILANDE THABANI HOPEWELL
3M SOUTH AFRICA,MAAA0018998,0,1,1654950,1,SANJITH RATHAN
3MP SALES AND EDUCATION SERVICES,MAAA0076173,0,3,4513.95,3,POZYN JACOBUS PETRUS
3MP SALES AND EDUCATION SERVICES,MAAA0076173,0,3,4513.95,3,POZYN Mariette
3RD ALTERNATIVE SOLUTIONS,MAAA0030725,972500,1,972500,1,MOLEFE REFILWE ROSE
3RD ALTERNATIVE SOLUTIONS,MAAA0030725,972500,1,972500,1,NTSOANE MPORO ELVIS
3WIX GROUP,MAAA0372504,25200,1,25200,1,MASINDI HULISANI
442 DRIVING ACADEMY,MAAA0567614,0,1,242000,1,TSHABALALA LULAMA PERSEVERANCE
4DEAL HOLDINGS,MAAA0621990,85360,4,85360,4,RAMOHLOA LEHLOHONOLO LUCKY
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,MOLEFE THAPELO MATHEWS
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,NGQALA MAKHOSI
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,NOTUNUNU MALIXOLE LIZOBUYA
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,NOTUNUNU ZILUNGILE
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,SEUTLOADI MOSES
4WASTE MANAGEMENT GROUP,MAAA0680192,250000,1,250000,1,THULARE PRINCE PETER
5THGEN STUDIOS,MAAA0602737,6862.8,2,6862.8,2,GWARUBANA LWANDISO
6 BROTHERS GUARDING SOLUTIONS AND CLEANING SERVICES,MAAA0058853,0,1,28500,1,SOMPHALI LUBABALO
888 BUSINESS SOLUTIONS,MAAA0413519,14805000,2,14805000,2,SINGH LYLE GLADSTON
92 CHILLI PROJECTS,MAAA0909437,206024.01,4,206024.01,4,NYATHELA TSHILIDZI JUNIOR JOHN-ROSS
98NAZO DIVA,MAAA0227327,28400,3,28400,3,XATYANA SIVIWE
A - Z GENERAL TRADING,MAAA0903960,309416.1,8,454134.08,8,BELIM MOHAMMED ALTAF
A AFRICA PEST PREVENTION,MAAA0104301,56751.37,3,56751.34,3,LABUSCHAGNE ALETTA MAGRIETA ELIZABETH
A AFRICA PEST PREVENTION,MAAA0104301,56751.37,3,56751.34,3,SMITH ALBERTUS JOUBERT
A AND B FAMILY TRADING,MAAA0224814,0,1,40950,1,KLEINBOOI ABRAHAM DEREK
A AND B FAMILY TRADING,MAAA0224814,0,1,40950,1,KLEINBOOI BERNADETTE JACINTA
A AND M PRIMWOOD,MAAA0061153,0,13,623755,13,PIETERSE ROAN
A AND N TRADERS,MAAA0021321,0,1,0,1,LUBISI AGREEMENCIA NOXOLO
A AND N TRADERS,MAAA0021321,0,1,0,1,NASHWA APHIWE
A AND S SUPPLIERS,MAAA0250032,3854518.72,7,5308574.14,7,ARENDS GARETH ALTON
A AND S SUPPLIERS,MAAA0250032,3854518.72,7,5308574.14,7,KOERIES SHANE EDWARD
A AND S SUPPLIES,MAAA0668175,3240,2,11880,2,THEART ALAN JACOBUS
A CADIA CLEANING SERVICES,MAAA0333963,58075,1,58075,1,DALIWE KHAYALETHU
A CLASS FUMIGATION,MAAA0761635,18991.98,1,18991.98,1,NDLEBE ZINZI
A D MEDICAL,MAAA0045221,630533.74,4,628507.66,4,FINLAY ALVIN THOMAS HENRY
A D MEDICAL,MAAA0045221,630533.74,4,628507.66,4,FINLAY DYLAN ALVIN
A H MARAIS SEUNS,MAAA0093159,24382.3,4,67806.3,4,MARAIS ABRIE HENDRIK
A H MARAIS SEUNS,MAAA0093159,24382.3,4,67806.3,4,MARAIS HEINDRIE
A H MARAIS SEUNS,MAAA0093159,24382.3,4,67806.3,4,MARAIS JACOB GABRIEL
A H MARAIS SEUNS,MAAA0093159,24382.3,4,67806.3,4,MARAIS PETRIE DANIEL
A H MARAIS SEUNS,MAAA0093159,24382.3,4,67806.3,4,MARAIS PIETER
A KHUNONG HOLDINGS,MAAA0962068,0,2,34500,2,MAAKE NCHIMUDI OA KHUNONG
A L HANDYMAN CONSTRUCTION,MAAA0928458,116764,2,116764,2,WELLS ANTHONY
A L HANDYMAN CONSTRUCTION,MAAA0928458,116764,2,116764,2,WELLS BERENICE MADELEINE
A N YENDE TRANSPORT AND TRADING,MAAA0074498,0,1,130410,1,SKHOSANA THABI MARGARET
A OCKLOK,MAAA1017571,8160,1,8160,1,MKANGELWA AMANDA
A ONE CONSULTING,MAAA0155481,206839,3,179860,3,DLAMINI SITHEMBISO ISRAEL
A ONE CONSULTING,MAAA0155481,206839,3,179860,3,MACKY MICHAEL VUSI
A ONE CONSULTING,MAAA0155481,206839,3,179860,3,NAIKER DEIVANA
A R OFFICE SOLUTIONS,MAAA0246885,46486,1,46486,1,RAGOOLOO ASHIKAA
A RE KOTULENG FARMING AND PROJECTS,MAAA0034480,206700,1,206700,1,RAMOKGADI KGABANE ISRAEL
A S D DISTRIBUTORS,MAAA0171025,3893.85,1,3893.85,1,DARRIES AMIENA
A S D DISTRIBUTORS,MAAA0171025,3893.85,1,3893.85,1,DARRIES MUHAMMED SHUKRI
A S R GLASS REPAIR,MAAA0263031,77293.8,2,77293.8,2,MALUQUA RENE
A S R GLASS REPAIR,MAAA0263031,77293.8,2,77293.8,2,MALUQUA STEVEN
A T M AUTO ELEKTRIES,MAAA0057635,11154.9,1,11154.9,1,ENGELBRECHT CHRISTIAN STEPHANUS
A T M AUTO ELEKTRIES,MAAA0057635,11154.9,1,11154.9,1,VAN DEN HEEVER JOSUA DANIËL
A UNIT FACILITIES MANAGEMENT,MAAA0910628,639135.5,1,1278271,1,JANSEN VAN VUUREN BEN FERDIE
A UNIT FACILITIES MANAGEMENT,MAAA0910628,639135.5,1,1278271,1,KUPE NOLUTHANDO SIPHOKAZI
A W V PROJECT MANAGEMENT,MAAA0077825,0,5,76910.5,5,VALENTYN PATRICIA DOLPHINE
A W V PROJECT MANAGEMENT,MAAA0077825,0,5,76910.5,5,VALENTYN WILLEM JAKOBUS
A Z TRADING CORPORATION,MAAA0000229,0,1,0,1,DENTON THAINAI
A1 CATERING AND EVENTS,MAAA0019755,0,1,14000,1,PILUSA MOTLANALO ROSINA
A1 DENTAL SUPPLIERS,MAAA0128480,878475.17,28,671865.8,28,HALIM ABDUL RAHIM
A1 NASWA FUMAGATION,MAAA0602136,1590.08,3,58590.08,3,FARO NASWA-LAYLA
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,ALT ANDREW IVAN GEORGE
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,AMOD MAHOMMED RAEES
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,Bawa FATIMA ISMAIL
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,BOSCH SANDRA
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,EKSTEEN FREDERIK RYK LUDOLPH
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,ESSACK YUSUF MAHMOOD
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,ESSACK YUSUF MAHOMED
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,HARTMAN ASHLEIGH MARGARET
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,JADWAT CASSIM AHMED
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,JEEWA YASEEN SHORKAT
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MAENZANISE TSITSI
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MAKDA SUMAYYA
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MCLEAN GARY BRIAN
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MKHOLOKOTHO DUMISANI DOMINIC
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MOHAMED YUSUF
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MOOSA HAROON ABDOOL SATAR
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,MOTALA MOHAMED
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,NEPGEN RINO
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,NOORMOHAMED MUNEER
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,PARUK MAHOMED SADECK AHMED
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,PETERSEN REEZAH
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,PETERSEN SUKENA
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,PIETERS HENDRIK MARTHINUS
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,Raubenheimer MARGARET EUNICE
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,SAHD LAURENE
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,SITHOLE KHETIWE JERRY
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,STENEKAMP MOEGAMAT IGSHAAN
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,TIMOL MOHAMED CASSIM
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,VAN JAARSVELD CINDY
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,WADIWALA MOOSA AHMED
A2A KOPANO,MAAA0002407,95076.25,1,610308,1,WAIT IGNATIUS WALTER
AA BONGWE TRADING,MAAA0492807,46000,1,46000,1,SEKELENI NOMABONGWE ANELE
AAA CONSUMABLES,MAAA0824119,3600,2,3600,2,FOURIE RUAN
AAA CONSUMABLES EASTERN CAPE,MAAA0854190,0,1,11520,1,FOURIE RUAN
AAA CONSUMABLES KWAZULU NATAL,MAAA0860526,12000,2,12000,2,FOURIE RUAN
AAA CONSUMABLES WESTERN CAPE,MAAA0853384,9500,3,36400,3,FOURIE RUAN
AAA STATIONERS,MAAA0090109,1932,2,1932,2,JANODIEN FATIMA
AAA STATIONERS,MAAA0090109,1932,2,1932,2,SAMUELS FAAIEZ
AAMI LIFESTYLE,MAAA0949862,199000,13,412930.3,13,KEKE VUYOKAZI NANGAMSO
AANTLHA CONSULTING,MAAA0882452,67320,1,0,1,BACELA CHUMILE
AB INDUSTRIAL AND HOME MAINTENANCE,MAAA0160000,414281.18,5,414281.18,5,DU TOIT ANTOINETTE
ABACUS MICRO SYSTEMS SALDANHA,MAAA0008201,410942.85,10,501295.34,10,HUMAN HAROLD DAWID
ABACUS MICRO SYSTEMS SALDANHA,MAAA0008201,410942.85,10,501295.34,10,HUMAN HAROLD RAYMOND
ABACUS MICRO SYSTEMS SALDANHA,MAAA0008201,410942.85,10,501295.34,10,HUMAN MARIA JACOBA CATHARINA
ABACUS MICRO SYSTEMS SALDANHA,MAAA0008201,410942.85,10,501295.34,10,SMIT LIZA-MARIE
ABACUS SUPPLY CHAIN SOLUTIONS,MAAA0016733,142632.3,17,180186.09,17,ABRAHAMS Faizel
ABACUS SUPPLY CHAIN SOLUTIONS,MAAA0016733,142632.3,17,180186.09,17,RIBBENS LEENDERT CORNELIS
ABACUS SUPPLY CHAIN SOLUTIONS,MAAA0016733,142632.3,17,180186.09,17,RIBBENS PIERRE JOUBERT
ABAFAZI BABANTU FISHING,MAAA0188458,0,3,122030,3,WILLIAMS HARRIET EDNA
ABAFIKILE TRADING AND PROJECTS,MAAA0873308,0,1,32000,1,NGIDI SPHAMANDLA
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,MLONZI PINKY
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,NDZAKAKANA BEAUTY NOMHLE
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,NOMPONDO SIGNORIA TANDEKA
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,SICWEBU PHINDILE NTOMBESIZWE
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,SITSHALUZA PRINCESS NELISWA NOKUZOLE
ABAKHETHWA PROJECTS PRIMARY CO-OPERTIVE LIMITED,MAAA0087203,114995,1,114995,1,SKWATSHA NOKUPHIWA PEARL
ABAKWAMAZIYA,MAAA0764051,106000,8,106000,8,SIBEKO NONHLANHLA DAPHNE
ABANDE NONKE CONSTRUCTION,MAAA0754426,4600,1,4600,1,KHANYILE S'THABILE
ABANQOBI INDUSTRY PARTNERS,MAAA0274849,126569.65,7,126569.65,7,NAIDOO GOVINDRAJAN
ABAPHUMELELI TRADING 101,MAAA0489591,958100,5,1093100,5,POHOTONA PHOSHANE SYLVESTER
ABAPHUMELELI TRADING 296,MAAA0177495,481094.58,2,481094.58,2,LUKHULENI LIZZIE NOMPUMELELO
ABAPHUMELELI TRADING 296,MAAA0177495,481094.58,2,481094.58,2,LUKHULENI PHUMZILE GLORIA
ABASEMONTI HOLDINGS,MAAA0045005,27637697.5,4,32227337.5,4,MBALI THEMBEKA MAVIS
ABASEMONTI HOLDINGS,MAAA0045005,27637697.5,4,32227337.5,4,MBALI-TYATYANTSI THEMBEKA MAVIS
ABATTIS,MAAA0371366,0,1,31750,1,MAISTRY SARASWATHI
ABATTIS,MAAA0371366,0,1,31750,1,NAIDOO POOBATHY
ABBOTT LABORATORIES SOUTH AFRICA,MAAA0030395,5261.03,99,0.29,99,KESHAV SHIVANI
ABBOTT LABORATORIES SOUTH AFRICA,MAAA0030395,5261.03,99,0.29,99,MABASO KHULULIWE
ABC AND Z TRADING,MAAA0539445,59670,2,59670,2,BOSMAN MXOLISI
ABCARE TECHNOLOGIES,MAAA0632430,2248.02,1,2248.02,1,ABBOY SAMUEL
ABCARE TECHNOLOGIES,MAAA0632430,2248.02,1,2248.02,1,NAICKER KRISHNA
ABDUL WAAGIED MAJIET,MAAA0094693,46200,8,46200,8,MAJIET ABDUL WAAGIED
ABENI GROCERS,MAAA0446910,87000,1,87000,1,MOMPEI KEFENTSE BOTUMILE
ABESUTHU EMPIRE,MAAA0355332,23913.6,3,23913.6,3,MAPHALALA THOKOZILE HAPPINESS
ABETHU FUNERALS,MAAA1008027,0,1,29925,1,MBANGCOLO PHIKILE SYDNEY
ABETHU FUNERALS,MAAA1008027,0,1,29925,1,POSWA NAMVUZO MELODY
ABIA INDUSTRIAL SUPPLIES,MAAA0701808,351200,6,351200,6,CHETTY REENA
ABIA INDUSTRIAL SUPPLIES,MAAA0701808,351200,6,351200,6,PILLAY NICOLENE
ABICHEM TRADING ENTERPRISE,MAAA0495279,0,4,145700,4,LUVUNO ABIA MARTHA
ABICHEM TRADING ENTERPRISE,MAAA0495279,0,4,145700,4,LUVUNO LINDOKUHLE SIPHESIHLE GOODGIFT
ABIGAIL MAINTAINANCE AND SUPPLY AND TRADING,MAAA0798865,0,1,6000,1,MOETSE MUZI LEBOHANG
ABIRA PROJECTS,MAAA0933262,540000,2,540000,2,MOHATLI MATLALA MAUREEN
ABIRTER BUSINESS DEVELOPERS,MAAA0037082,0,1,284700,1,MASETE ABITHA RAISIBE
ABISAI CONSTRUCTION AND PROJECTS,MAAA0018046,235410.39,3,235410.39,3,MOLOBI ABISAI
ABITEK TRADING,MAAA0718436,815000,3,815000,3,MASHIANE TEBOGO JUSTICE
ABITEK TRADING,MAAA0718436,815000,3,815000,3,PILA ABIGALE
ABITEK TRADING,MAAA0718436,815000,3,815000,3,PILA KOKETSO DESIREE
ABLAZE TRADING 212,MAAA0276525,600000,1,600000,1,LAMBRECHTS Willem Johannes
ABLAZE TRADING 212,MAAA0276525,600000,1,600000,1,SWART JACOBUS HENDRIK
ABLAZE TRADING 212,MAAA0276525,600000,1,600000,1,SWART JOHANNES FRANCOIS JACOBUS
ABLAZE TRADING 212,MAAA0276525,600000,1,600000,1,SWART RIETTE
ABLAZE TRADING 247,MAAA0342278,76122,1,76122,1,ENGELBRECHT JANNIE MARAIS
ABLAZE TRADING 247,MAAA0342278,76122,1,76122,1,WESSELS SCHALK LOUIS
ABLAZE TRADING 248,MAAA0074831,1549.88,2,1549.6,2,Britz WYNAND
ABLAZE TRADING 248,MAAA0074831,1549.88,2,1549.6,2,KLUGE MARGARETHA ELIZABETH
ABLAZE TRADING 248,MAAA0074831,1549.88,2,1549.6,2,KOEN ARNO ROBERT
ABLAZE TRADING 248,MAAA0074831,1549.88,2,1549.6,2,VAN JAARSVELD WYNAND JACOBUS
ABM ENTERPRISES,MAAA0835205,271440,1,271440,1,MATHOPA ANDREW
ABOKEMEDI TRADING AND INVESTMENTS,MAAA0027801,184500,1,184500,1,MOKGOLO MMACHIDI JOSEPH
ABOMCEBO CATERING AND CONSTRUCTION,MAAA0254233,0,1,25920,1,BUTHELEZI GABISILE FORTUNATE
ABOMPETHA,MAAA0813702,0,2,0,2,HARRISON JOSCELLYN GRACE
ABOMPETHA,MAAA0813702,0,2,0,2,KUNENE THUTHUKA OSWALD
ABOMPETHA,MAAA0813702,0,2,0,2,SEKGAOLELO KAGISO
ABOPETO TRADING AND PROJECTS,MAAA0390285,20140,1,20140,1,BATA ABONGILE
ABOSANDA INVESTMENT HOLDINGS,MAAA0859078,390000,8,390000,8,MKHUMA PHUMZILE ALETTA
ABOVE AND BEYOND TRADING 104,MAAA0050099,2424122.34,3,2424122.34,3,MATSANE WELCOME THABO
ABOVE AND BEYOND TRADING 104,MAAA0050099,2424122.34,3,2424122.34,3,MATSANE YVETTE BATHABILE
ABRAHAM MARTHINUS VAN DER WALT,MAAA0487680,0,6,34200,6,VAN DER WALT ABRAHAM MARTHINUS
ABRAHAMS STATIONERS,MAAA0910582,1869153.2,98,2035953.2,98,ABRAHAMS ELAN GRANT
ABRAHAMS STATIONERS,MAAA0910582,1869153.2,98,2035953.2,98,PETERSEN MINEYON ANTHRESA
ABRAM MASHEGO CONSTRUCTION AND MAINTENANCE WORKS,MAAA0216547,950000,1,950000,1,MASHEGO ABRAM
ABSTRACT GROUP,MAAA0037469,5500,1,5500,1,MBATHA NJABULO
ABT TELECOMS,MAAA0381482,826200,1,826200,1,MAKHAYE MUZIWAKHE CONNONDOYLE KINGSLEY
ABT TELECOMS,MAAA0381482,826200,1,826200,1,MZINDLE DUDUZILE
ABT TELECOMS,MAAA0381482,826200,1,826200,1,NKUMANE THULASIZWE GIFT
ABUTI APPAREL,MAAA0908768,40214.88,5,40214.88,5,SHABANGU MANDISA MANDY
AC DISPOSABLES AND CLEANING PRODUCTS,MAAA0371836,1384760,10,1357352.3,10,KOOTBODIEN AZIZA BIBI
AC MINLY TRADING,MAAA0020738,40739.41,4,40739.41,4,DE WET ANTHONIE CHRISTOFFEL
AC PIONEER TRADING,MAAA0860396,121000,1,135000,1,CINGO LIHLE ATHIPHILA
AC RHODE TRADING,MAAA0004703,871985,5,867005,5,RHODE CHANTAL RHODE
AC TECH TRADING,MAAA0039829,23200,2,23200,2,JORDAAN CLINTON MARLON
ACCESS KEYS,MAAA0169284,430000,1,0,1,MOTHUSI OFENTSE MOOKETSA OSHUPILE
ACCESS MEDICAL,MAAA0013740,18710498.86,45,99262626.79,45,GOVENDER DURAN
ACCUNOMICS,MAAA0347940,6995600,108,6995600,108,DEONANDAN AVASHNA
ACCUNOMICS,MAAA0347940,6995600,108,6995600,108,MKHIZE LONSDALE LINDOKUHLE
ACID PRINTS,MAAA0884384,18000,1,18000,1,MAKASI LUXOLO
ACO CHEMICALS,MAAA0145910,0,1,29976.96,1,JORDAAN ADRIAAN CORNELIUS
ACS SURVEYS,MAAA0441843,500,1,500,1,MSIBI ANDILE SANDILE
ACTION WEED CONTROL AND FUMIGATION,MAAA0687543,2310,3,2310,3,BOTHA HENDRIK GERHARDUS
ACTION WEED CONTROL AND FUMIGATION,MAAA0687543,2310,3,2310,3,MALCOMESS SHANE PETER RORKE
ACTIVE AMBULANCE SERVICES,MAAA0582322,657538.1,32,657538.1,32,JOSEPH EBRAAHEEM
ACTIVE ORIGIN,MAAA0032385,0,1,19950,1,NOMBEMBE NELISA
ACTS MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,MAAA0800712,325000,1,325000,1,NOMVUNGU LAZOLA
ACTS MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,MAAA0800712,325000,1,325000,1,NOMVUNGU NOLUVO
ACTS MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,MAAA0800712,325000,1,325000,1,NOMVUNGU TABISA
ACTS MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,MAAA0800712,325000,1,325000,1,NYAMAZANA ANATHI
ACUMEN GROUP,MAAA0435211,2498490,6,2502490,6,MOFOKENG BOITUMELO
ACUMEN GROUP,MAAA0435211,2498490,6,2502490,6,MOFOKENG TANKISO DOMINIC
ACUTE SUPPLIERS AND TRADING,MAAA0674108,269500,1,269500,1,Thomas MARIA
ACWENGA GENERAL TRADING,MAAA0211272,0,1,15400,1,MPINDA UNATHI NALEDI
ACZOLEKE,MAAA0382426,0,1,445000,1,CELE NOKUZOLA CHRISTINA
ADAPTIVEWORX,MAAA0644508,263653.7,8,263653.7,8,MAREE ERIC
ADCOCK INGRAM CRITICAL CARE,MAAA0010153,819467,145,2074112.03,145,HALL ANDREW GIDEON
ADCOCK INGRAM CRITICAL CARE,MAAA0010153,819467,145,2074112.03,145,NEETHLING DORETTE
ADCOCK INGRAM HEALTHCARE,MAAA0036413,0,3,28878.8,3,HALL ANDREW GIDEON
ADCOCK INGRAM HEALTHCARE,MAAA0036413,0,3,28878.8,3,NEETHLING DORETTE
ADE EQUIPMENT TRADING,MAAA0080116,31140,4,31140,4,ENGELBRECHT ANNA PETRONELLA
ADEP SOLUTIONS,MAAA0771993,29997,1,29997,1,MOTHIBI THAPELO SOLOMON
ADISOL,MAAA0113288,68750,1,68750,1,MAKHENE THABANG JOSHUA
ADJOS ENTERPRISES,maaa0888756,112320,1,9775,1,MOOLOO SASHA RINE
ADJUVO ENTERPRISES,MAAA0943982,45193.85,3,45828.65,3,FREDERICKS LOGAN
ADJUVO ENTERPRISES,MAAA0943982,45193.85,3,45828.65,3,GRIEBENOW LATETIA
ADJUVO ENTERPRISES,MAAA0943982,45193.85,3,45828.65,3,JOSHUA MICHELLE ROLENE
ADJUVO ENTERPRISES,MAAA0943982,45193.85,3,45828.65,3,PRETORIUS CHANITA
ADJUVO ENTERPRISES,MAAA0943982,45193.85,3,45828.65,3,VAN NEEL MARUIS
ADK GENERAL SERVICES,MAAA0795631,326494.97,66,620042.59,66,KHONJE ANDREW
ADMEX PROMOTIONAL MARKETING,MAAA0905855,2500,1,2500,1,AANHUIZEN DARREN JOHN
ADOBLOX,MAAA0635988,199400,1,0,1,NKOMO PRIMROSE SIBONGILE
ADOBO HOLDINGS,MAAA0600392,86512,1,86512.5,1,KEIPOPELE SETLHARESAKGOTLA KARABO
