supplier_sum,supplier_name,No,Institution_name,Item_desp,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,Cleaned_name,Cleaned_supplier,CSD_Registration_No
270001403.12,masiqame trading,44786,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,635.53,2674,25 Litre,5/8/2020,"R1,699,407.22",10/9/2020,"R1,699,407",1699407,1699407.22,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44787,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,595.18,3001,25 Litre,5/8/2020,"R1,786,135.18",30/10/2020,"R1,786,135",1786135,1786135.18,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44788,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,595.18,3876,25 Litre,5/8/2020,"R2,306,917.68",10/9/2020,"R2,306,918",2306918,2306917.68,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44789,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,615.35,4478,25 Litre,5/8/2020,"R2,755,537.30",10/9/2020,"R2,755,537",2755537,2755537.3,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44791,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,615.35,5429,25 Litre,5/8/2020,"R3,340,735.15",10/9/2020,"R3,340,735",3340735,3340735.15,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44792,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,595.18,8190,25 Litre,5/8/2020,"R4,874,524.20",10/9/2020,"R4,874,524",4874524,4874524.2,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44844,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,0,0,25 Litre,5/8/2020,"R4,424,217.72",30/10/2020,"R4,424,218",4424218,4424217.72,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44845,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,262.28,10039,25 Litre,5/8/2020,"R2,633,028.92",10/9/2020,"R2,633,029",2633029,2633028.92,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44846,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,262.28,11834,25 Litre,5/8/2020,"R3,103,821.52",22/10/2020,"R3,103,822",3103822,3103821.52,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44847,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,272.37,4079,25 Litre,5/8/2020,"R1,110,997.23",10/9/2020,"R1,110,997",1110997,1110997.23,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44848,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,272.37,4871,25 Litre,5/8/2020,"R1,326,714.27",10/9/2020,"R1,326,714",1326714,1326714.27,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44849,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,254.28,5502,25 Litre,5/8/2020,"R1,399,048.56",22/10/2020,"R1,399,049",1399049,1399048.56,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44850,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,254.21,6000,25 Litre,5/8/2020,"R1,525,260.00",16/10/2020,"R1,525,260",1525260,1525260.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44851,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,254.21,8212,25 Litre,5/8/2020,"R2,087,572.52",10/9/2020,"R2,087,573",2087573,2087572.52,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading,37799,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,180.23,3144,25 Litre,,R0.00,9/10/2021,"R566,630",566630,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading,37800,WESTERN CAPE - EDUCATION,PPE012 Multi purpose sanitisers and disinfectants,0,185,3431,25 Litre,,R0.00,9/10/2021,"R634,735",634735,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading,38400,WESTERN CAPE - EDUCATION,PPE019 Surface sanitisers and disinfectants,0,270,2262,25 Litre,,R0.00,9/10/2021,"R610,740",610740,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading,38941,WESTERN CAPE - EDUCATION,PPE020 Hand sanitisers and disinfectants,0,415,1938,25 Litre,,R0.00,9/10/2021,"R809,105",809105,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading,38942,WESTERN CAPE - EDUCATION,PPE020 Hand sanitisers and disinfectants,0,950,3878,25 Litre,,R0.00,9/10/2021,"R3,684,100",3684100,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1353,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,1182,25 Litre,30/06/2020,"R238,468.50",,R0,0,238468.5,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1354,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,1260,25 Litre,30/06/2020,"R254,205.00",,R0,0,254205.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1355,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,1416,25 Litre,30/06/2020,"R285,678.00",,R0,0,285678.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1356,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,1476,25 Litre,30/06/2020,"R297,783.00",,R0,0,297783.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1357,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,1896,25 Litre,30/06/2020,"R382,518.00",,R0,0,382518.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1358,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,211.84,900,25 Litre,30/06/2020,"R190,656.00",,R0,0,190656.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1382,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",2673,25 Litre,30/06/2020,"R4,570,830.00",,R0,0,4570830.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1383,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",4898,25 Litre,30/06/2020,"R8,375,580.00",,R0,0,8375580.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1384,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",5201,25 Litre,30/06/2020,"R8,893,710.00",,R0,0,8893710.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1385,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",6129,25 Litre,30/06/2020,"R10,480,590.00",,R0,0,10480590.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1386,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",6640,25 Litre,30/06/2020,"R11,354,400.00",,R0,0,11354400.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,1387,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,710.00",7222,25 Litre,30/06/2020,"R12,349,620.00",,R0,0,12349620.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2716,ALL WCG DEPARTMENTS,0,0,22.9,11234,Each,29/04/2020,"R257,258.60",,"R257,259",257259,257258.6,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2717,ALL WCG DEPARTMENTS,0,0,22.9,2700,Each,29/04/2020,"R61,830.00",,"R61,830",61830,61830.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2758,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,1030,Per pair,29/04/2020,"R77,929.80",,R0,0,77929.8,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2759,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,1102,Per pair,29/04/2020,"R83,377.32",,"R83,377",83377,83377.32,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2760,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,1950,Per pair,29/04/2020,"R141,628.50",,"R141,629",141629,141628.5,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2761,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,1994,Per pair,29/04/2020,"R144,824.22",,"R144,824",144824,144824.22,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2762,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,2081,Per pair,29/04/2020,"R151,143.03",,"R151,143",151143,151143.03,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2763,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",84.74,2681,Per pair,29/04/2020,"R227,187.94",,R0,0,227187.94,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2764,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,2822,Per pair,29/04/2020,"R204,961.86",,R0,0,204961.86,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2765,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,328,Per pair,29/04/2020,"R24,816.48",,"R24,816",24816,24816.48,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2766,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,3523,Per pair,29/04/2020,"R266,550.18",,R0,0,266550.18,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2767,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,484,Per pair,29/04/2020,"R36,619.44",,"R36,619",36619,36619.44,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2768,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,569,Per pair,29/04/2020,"R43,050.54",,R0,0,43050.54,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2769,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,70,Per pair,29/04/2020,"R5,084.10",,"R5,084",5084,5084.1,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2770,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,792,Per pair,29/04/2020,"R57,522.96",,R0,0,57522.96,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2771,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,803,Per pair,29/04/2020,"R58,321.89",,R0,0,58321.89,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2772,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,807,Per pair,29/04/2020,"R58,612.41",,R0,0,58612.41,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2773,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",84.74,843,Per pair,29/04/2020,"R71,435.82",,"R71,436",71436,71435.82,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2774,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,869,Per pair,29/04/2020,"R63,115.47",,"R63,115",63115,63115.47,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2775,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",72.63,874,Per pair,29/04/2020,"R63,478.62",,"R63,479",63479,63478.62,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2776,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",145.26,899,Per pair,29/04/2020,"R130,588.74",,"R130,589",130589,130588.74,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2777,ALL WCG DEPARTMENTS,PPE000 Other PPEs,"Gloves, Latex, Yellow, household",75.66,958,Per pair,29/04/2020,"R72,482.28",,"R72,482",72482,72482.28,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2815,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,211.84,210,25 Litre,29/04/2020,"R44,486.40",,"R39,614",39614,44486.4,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2816,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,211.84,319,25 Litre,29/04/2020,"R67,576.96",,"R67,577",67577,67576.96,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2817,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,400,25 Litre,29/04/2020,"R80,700.00",,"R80,095",80095,80700.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2818,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,424,25 Litre,29/04/2020,"R85,542.00",,"R85,542",85542,85542.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2819,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,444,25 Litre,29/04/2020,"R89,577.00",,"R89,174",89174,89577.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2820,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,201.75,484,25 Litre,29/04/2020,"R97,647.00",,"R94,823",94823,97647.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2821,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,232.02,544,25 Litre,29/04/2020,"R126,218.88",,"R111,370",111370,126218.88,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2822,ALL WCG DEPARTMENTS,PPE012 Multi purpose sanitisers and disinfectants,0,211.84,669,25 Litre,29/04/2020,"R141,720.96",,"R141,721",141721,141720.96,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2841,WESTERN CAPE - EDUCATION,PPE019 Surface sanitisers and disinfectants,Bleach,201.75,14,25 Litre,29/04/2020,R0.00,23/04/2021,"R2,825",2825,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2842,WESTERN CAPE - EDUCATION,PPE019 Surface sanitisers and disinfectants,Bleach,211.84,23,25 Litre,29/04/2020,R0.00,21/04/2021,"R4,872",4872,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2843,WESTERN CAPE - EDUCATION,PPE019 Surface sanitisers and disinfectants,Bleach,209.14,71,25 Litre,29/04/2020,R0.00,,"R14,849",14849,0.0,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2844,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",13,25 Litre,29/04/2020,"R25,220.00",,"R25,220",25220,25220.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2845,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",1407,25 Litre,29/04/2020,"R2,884,350.00",,"R2,884,350",2884350,2884350.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2846,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",19,25 Litre,29/04/2020,"R36,860.00",,"R36,860",36860,36860.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2847,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",2,25 Litre,29/04/2020,"R3,880.00",,"R3,880",3880,3880.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2848,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",2144,25 Litre,29/04/2020,"R4,395,200.00",,"R3,456,300",3456300,4395200.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2849,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",28,25 Litre,29/04/2020,"R57,400.00",,"R57,400",57400,57400.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2850,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,100.00",3321,25 Litre,29/04/2020,"R6,974,100.00",,"R6,974,100",6974100,6974100.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2851,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,100.00",39,25 Litre,29/04/2020,"R81,900.00",,"R81,900",81900,81900.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2852,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",4180,25 Litre,29/04/2020,"R8,109,200.00",,"R8,109,200",8109200,8109200.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2853,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",46,25 Litre,29/04/2020,"R94,300.00",,"R94,300",94300,94300.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2854,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",4895,25 Litre,29/04/2020,"R10,034,750.00",,"R10,034,750",10034750,10034750.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2855,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",5355,25 Litre,29/04/2020,"R10,388,700.00",,"R9,405,120",9405120,10388700.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2856,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",5495,25 Litre,29/04/2020,"R10,660,300.00",,"R2,966,260",2966260,10660300.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2857,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"1,940.00",5837,25 Litre,29/04/2020,"R11,323,780.00",,"R11,321,840",11321840,11323780.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2858,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,100.00",613,25 Litre,29/04/2020,"R1,287,300.00",,R0,0,1287300.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2859,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",66,25 Litre,29/04/2020,"R135,300.00",,"R135,300",135300,135300.0,All wcg departments,masiqhame trading 1057,MAAA0083390
270001403.12,masiqhame trading 1057,2860,ALL WCG DEPARTMENTS,PPE020 Hand sanitisers and disinfectants,0,"2,050.00",8,25 Litre,29/04/2020,"R16,400.00",,R0,0,16400.0,All wcg departments,masiqhame trading 1057,MAAA0083390
