,No,Institution_name,Item_d,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,cleaned_name,Item_desp,No_per_unit,price_per_mask,real_quan
21,481,SA POLICE SERVICE,PPE001 Surgical masks for patients,The Dream Events,0,78.77,8500.0,Box of 50,2020-03-31,"R669,578.49",2020-04-14,"R669,578",669578,669578.49,Sa police service,PPE001 Surgical masks for patients,50.0,1.5754,425000.0
22,482,SOCIAL DEVELOPMENT,PPE001 Surgical masks for patients,TRIPPLE N  MEDICAL DISTRIBUTORS,Surgical face masks for welfare service facilities in 9 provinces,651.0,9898.0,Box of 50,2020-03-31,"R7,410,137.70",2020-06-20,"R7,410,138",7410138,7410137.7,Department of social development,PPE001 Surgical masks for patients,50.0,13.02,494900.0
23,483,UMDONI LOCAL MUNICIPALITY,PPE001 Surgical masks for patients,Accunomics (Pty)LTD,0,220.0,6740.0,Each,2020-03-31,"R1,482,800.00",2020-03-04,"R1,482,800",1482800,1482800.0,Umdoni local municipality,PPE001 Surgical masks for patients,1.0,220.0,6740.0
24,484,KWAZULU NATAL - HEALTH,PPE002 Surgical masks for healt care workers,Healthware,0,21.66,18000.0,Each,2020-03-31,"R389,880.00",,R0,0,389880.0,Kwazulu natal - health,PPE002 Surgical masks for health care workers,1.0,21.66,18000.0
25,485,KWAZULU NATAL - HEALTH,PPE002 Surgical masks for healt care workers,EGS,0,27.6,500000.0,Each,2020-03-31,"R13,800,000.00",,R0,0,13800000.0,Kwazulu natal - health,PPE002 Surgical masks for health care workers,1.0,27.6,500000.0
26,486,LEGAL AID SA,PPE002 Surgical masks for healt care workers,Celebration Bar,0,20.0,11.0,Each,2020-03-31,R220.00,2020-03-31,R220,220,220.0,Legal aid south africa,PPE002 Surgical masks for health care workers,1.0,20.0,11.0
27,487,LEGAL AID SOUTH AFRICA,PPE002 Surgical masks for healt care workers,Celebration Bar,0,40.0,11.0,Each,2020-03-31,R440.00,2020-03-31,R440,440,440.0,Legal aid south africa,PPE002 Surgical masks for health care workers,1.0,40.0,11.0
28,488,SOUTH AFRICAN REVENUE SERVICE,PPE002 Surgical masks for healt care workers,Mafunasi Holding PTY LTD,0,35.0,21500.0,Box of 50,2020-03-31,"R766,500.00",2020-04-04,"R766,500",766500,766500.0,South african revenue services,PPE002 Surgical masks for health care workers,50.0,0.7,1075000.0
29,490,KWAZULU NATAL - HEALTH,PPE003 Respirator mask,Juba Fly,0,60.0,100000.0,Each,2020-03-31,"R6,000,000.00",,R0,0,6000000.0,Kwazulu natal - health,"respirator masks (FFP2, N95)",1.0,60.0,100000.0
30,491,WESTERN CAPE - HEALTH,PPE003 Respirator mask,RAPITRADE 458,3M1680 cone shape masks,19.93,2000.0,EA,2020-03-31,"R39,850.00",2020-04-24,"R39,850",39850,39850.0,Western cape - health,"respirator masks (FFP2, N95)",1.0,19.93,2000.0
31,510,BREEDE VALLEY MUNICIPALITY,PPE017 2 Layer fabric cloth masks,AUTO REPAIR IMPORT EXPORT (PTY) LTD,MASK DUSK DISPOSABLE 0194 FFP1 M14,4.6,5000.0,Each,2020-03-31,"R23,000.00",2020-04-03,"R230,000",230000,23000.0,Breede valley municipality,cloth masks,1.0,4.6,5000.0
32,511,LEGAL AID SA,PPE017 2 Layer fabric cloth masks,Maskup Protective Mask Manufacturers,0,100.0,20.0,Each,2020-03-31,"R2,000.00",,R0,0,2000.0,Legal aid south africa,cloth masks,1.0,100.0,20.0
33,512,LEGAL AID SOUTH AFRICA,PPE017 2 Layer fabric cloth masks,Maskup Protective Mask Manufacturers,0,100.0,20.0,Each,2020-03-31,"R2,000.00",2020-03-31,"R2,000",2000,2000.0,Legal aid south africa,cloth masks,1.0,100.0,20.0
34,514,SOUTH AFRICAN BROADCASTING CORPORATION LIMITED,PPE018 3 Layer fabric cloth masks,Hamisa Safety Equipment Supplies,0,60.0,20000.0,Each,2020-03-31,"R1,200,000.00",2020-04-30,"R1,380,000",1380000,1200000.0,South african broadcasting corporation limited,cloth masks,1.0,60.0,20000.0
35,624,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE001 Surgical masks for patients,K2020189850 (SOUTH AFRICA),0,25.0,202.0,Each,2020-11-30,"R5,050.00",,R0,0,5050.0,Eastern cape - social development and special programmes,PPE001 Surgical masks for patients,1.0,25.0,202.0
36,625,OUDTSHOORN MUNICIPALITY,PPE001 Surgical masks for patients,SAFETY MATE,0,333.5,40.0,Box of 50,2020-11-30,"R13,340.00",2020-12-18,"R13,340",13340,13340.0,Oudtshoorn municipality,PPE001 Surgical masks for patients,50.0,6.67,2000.0
37,632,NATIONAL RESEARCH FOUNDATION,PPE018 3 Layer fabric cloth masks,Admex Promotional Marketing,0,25.0,100.0,Each,2020-11-30,"R2,500.00",2020-11-12,"R2,500",2500,2500.0,National research foundation,cloth masks,1.0,25.0,100.0
38,682,CITY OF CAPE TOWN,PPE002 Surgical masks for healt care workers,NEW AGE MEDIDENT CC,0,220.0,9530.0,Box of 50,2020-10-30,"R2,096,600.00",2020-11-18,"R2,096,600",2096600,2096600.0,City of cape town,PPE002 Surgical masks for health care workers,50.0,4.4,476500.0
39,683,DEPARTMENT OF CORRECTIONAL SERVICES,PPE002 Surgical masks for healt care workers,Biologica Pharmaceuticals,0,699.0,10.0,Box of 100,2020-10-30,"R6,990.00",2021-01-28,"R6,990",6990,6990.0,Department of correctional services,PPE002 Surgical masks for health care workers,100.0,6.99,1000.0
40,698,CITY OF CAPE TOWN,PPE018 3 Layer fabric cloth masks,STELMED,0,18.5,20000.0,Each,2020-10-30,"R370,000.00",,R0,0,370000.0,City of cape town,cloth masks,1.0,18.5,20000.0
41,776,GAUTENG - HEALTH,Mask face surgical with ties 3 ply,NATIONAL MEDICAL SUPPLIES,0,0.8,80000.0,EA,2020-09-30,"R64,000.00",,R0,0,64000.0,Gauteng - health,Uncategorized masks,1.0,0.8,80000.0
42,817,CENTRAL KAROO DISTRICT MUNICIPALITY,PPE001 Surgical masks for patients,Bidvest Waltons George,0,15.6,1000.0,Box of 50,2020-09-30,"R17,940.00",,"R17,940",17940,17940.0,Central karoo district municipality,PPE001 Surgical masks for patients,50.0,0.312,50000.0
43,825,SASSA,PPE018 3 Layer fabric cloth masks,Nosiviwe Trading,Procurement of cloth masks,18.0,500.0,Each,2020-09-30,"R9,000.00",,R0,0,9000.0,South african social security agency,cloth masks,1.0,18.0,500.0
44,973,GAUTENG - HEALTH,Mask face 3ply loops with tie disposable,VARDOFLASH,0,1.0,2480000.0,Each,2020-07-30,"R2,480,000.00",,R0,0,2480000.0,Gauteng - health,Uncategorized masks,1.0,1.0,2480000.0
45,974,GAUTENG - HEALTH,Mask face 3ply loops with tie disposable,DFC AFRICA,0,1.0,6047500.0,Each,2020-07-30,"R6,047,500.00",,R0,0,6047500.0,Gauteng - health,Uncategorized masks,1.0,1.0,6047500.0
46,975,GAUTENG - HEALTH,Mask face tie back adults 3 layer cloth,Alvada Creations,0,40.0,1200.0,Each,2020-07-30,"R48,000.00",,R0,0,48000.0,Gauteng - health,cloth masks,1.0,40.0,1200.0
47,1027,PETROSA,PPE002 Surgical masks for healt care workers,Arendese Industrial,0,4.6,21500.0,Each,2020-07-30,"R98,900.00",2020-06-08,"R98,900",98900,98900.0,Petrosa,PPE002 Surgical masks for health care workers,1.0,4.6,21500.0
48,1028,WEST COAST DISTRICT MUNICIPALITY,PPE002 Surgical masks for healt care workers,Startune (Pty) Ltd,0,286.35,30.0,Box of 50,2020-07-30,"R8,590.50",2020-10-09,"R8,591",8591,8590.5,West coast district municipality,PPE002 Surgical masks for health care workers,50.0,5.727,1500.0
49,1055,HOME AFFAIRS,PPE018 3 Layer fabric cloth masks,Ubucubu Home Industries,0,40.0,642.0,Each,2020-07-30,"R25,680.00",2020-11-09,"R25,680",25680,25680.0,Home affairs,cloth masks,1.0,40.0,642.0
50,1058,NATIONAL DEVELOPMENT AGENCY,PPE018 3 Layer fabric cloth masks,Women Outside The Box Primary Cooperative Limited,0,45.0,440.0,Each,2020-07-30,"R19,800.00",2020-08-18,"R19,800",19800,19800.0,National development agency,cloth masks,1.0,45.0,440.0
51,1328,ACCOUNTING STANDARDS BOARD,PPE001 Surgical masks for patients,Takealot Online,0,370.0,1.0,Box of 50,2020-06-30,R370.00,2020-06-30,R370,370,370.0,Accounting standards board,PPE001 Surgical masks for patients,50.0,7.4,50.0
52,1330,DEFENCE,PPE001 Surgical masks for patients,Reakutu Trading Enterprise,0,12.65,60000.0,Each,2020-06-30,"R759,000.00",2020-07-15,"R759,000",759000,759000.0,Defence,PPE001 Surgical masks for patients,1.0,12.65,60000.0
53,1332,UMDONI LOCAL MUNICIPALITY,PPE001 Surgical masks for patients,ATHANDOKUHLE TRADING (Pty) LTD,0,220.0,190.0,Each,2020-06-30,"R41,800.00",2020-10-07,"R41,800",41800,41800.0,Umdoni local municipality,PPE001 Surgical masks for patients,1.0,220.0,190.0
54,1333,DENEL (PTY) LTD,PPE002 Surgical masks for healt care workers,Mafokeng,0,32.0,100.0,Each,2020-06-30,"R3,200.00",2020-08-14,"R3,200",3200,3200.0,Denel,PPE002 Surgical masks for health care workers,1.0,32.0,100.0
55,1334,GAUTENG - COMMUNITY SAFETY,PPE002 Surgical masks for healt care workers,Nomnombo Trading and Projects,0,15.0,30000.0,Each,2020-06-30,"R450,000.00",2020-07-08,"R450,000",450000,450000.0,Gauteng - community safety,PPE002 Surgical masks for health care workers,1.0,15.0,30000.0
56,1335,GAUTENG DEPARTMENT OF COMMUNITY SAFETY,PPE002 Surgical masks for healt care workers,Nomnombo Trading and Projects,0,30.0,30000.0,Each,2020-06-30,"R900,000.00",2020-07-08,"R900,000",900000,900000.0,Gauteng - community safety,PPE002 Surgical masks for health care workers,1.0,30.0,30000.0
57,1336,HOME AFFAIRS,PPE002 Surgical masks for healt care workers,Masana Clothing,0,52.7,5000.0,Each,2020-06-30,"R263,500.00",2020-07-21,"R263,500",263500,263500.0,Home affairs,PPE002 Surgical masks for health care workers,1.0,52.7,5000.0
58,1338,DENEL (PTY) LTD,PPE003 Respirator mask,Mafokeng,0,91.0,100.0,Each,2020-06-30,"R9,100.00",2020-08-14,"R9,100",9100,9100.0,Denel,"respirator masks (FFP2, N95)",1.0,91.0,100.0
59,1362,KING SABATA DALINDYEBO LOCAL MUNICIPALITY,PPE017 2 Layer fabric cloth masks,Busisiwe Marketing,0,24.75,4500.0,Box of 100,2020-06-30,"R111,375.00",2020-08-20,R0,0,111375.0,King sabata dalindyebo local municipality,cloth masks,100.0,0.2475,450000.0
60,1363,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE018 3 Layer fabric cloth masks,Vusa Ithemba,0,25.0,206.0,Each,2020-06-30,"R5,150.00",2020-10-09,"R5,150",5150,5150.0,Eastern cape - social development and special programmes,cloth masks,1.0,25.0,206.0
61,1364,HOME AFFAIRS,PPE018 3 Layer fabric cloth masks,Segirinya Holding / East Coast,0,50.0,600.0,Each,2020-06-30,"R30,000.00",2020-06-22,"R30,000",30000,30000.0,Home affairs,cloth masks,1.0,50.0,600.0
62,1365,KWAZULU NATAL - TRANSPORT,PPE018 3 Layer fabric cloth masks,Mafulela Trading,0,30.0,2940.0,Each,2020-06-30,"R88,200.00",2020-03-08,"R222,340",222340,88200.0,Kwazulu natal - transport,cloth masks,1.0,30.0,2940.0
63,1366,LIMPOPO DEPARTMENT OF EDUCATION,PPE018 3 Layer fabric cloth masks,Blue Rocks Civil Services,0,14.95,106698.0,Each,2020-06-30,R0.00,2020-06-08,"R1,118,574",1118574,0.0,Limpopo - education,cloth masks,1.0,14.95,106698.0
64,1371,LIMPOPO DEPARTMENT OF EDUCATION,PPE018 3 Layer fabric cloth masks,Mamoshalagae Trading & Projects,0,18.4,53026.0,Each,2020-06-30,"R975,678.40",2020-06-08,R0,0,975678.4,Limpopo - education,cloth masks,1.0,18.4,53026.0
65,1374,LIMPOPO DEPARTMENT OF EDUCATION,PPE018 3 Layer fabric cloth masks,Olrich Home of Technology,0,9.7,80000.0,Each,2020-06-30,"R1,552,000.00",2020-06-08,R0,0,1552000.0,Limpopo - education,cloth masks,1.0,9.7,80000.0
66,1376,METSIMAHOLO LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,K A Enterprise (Pty)Ltd,0,37.8,100.0,Each,2020-06-30,"R3,780.00",,"R3,780",3780,3780.0,Metsimaholo local municipality,cloth masks,1.0,37.8,100.0
67,1496,SOUTH AFRICAN NATIONAL PARK,PPE001 Surgical masks for patients,Die Humansdorpse Kooperasie,0,7.0,280.0,Each,2020-05-30,"R10,112.30",2020-04-06,"R1,960",1960,10112.3,South african national parks,PPE001 Surgical masks for patients,1.0,7.0,280.0
68,1501,SOUTH AFRICAN NATIONAL PARK,PPE018 3 Layer fabric cloth masks,Iris Wholesale,0,35.76,500.0,Each,2020-05-30,"R20,562.00",2020-02-07,"R20,562",20562,20562.0,South african national parks,cloth masks,1.0,35.76,500.0
69,1619,GAUTENG - HEALTH,Mask face surgical with ties 3 ply,HALYARD HEALTH SOUTH AFRICA,0,299.76,1000.0,Each,2020-04-30,"R299,760.00",,R0,0,299760.0,Gauteng - health,Uncategorized masks,1.0,299.76,1000.0
70,1671,DUBE TRADEPORT,PPE001 Surgical masks for patients,UNITRADE 1032,0,516.24,15.0,Box of 50,2020-04-30,"R7,743.60",2020-05-18,"R7,744",7744,7743.6,Dube tradeport,PPE001 Surgical masks for patients,50.0,10.3248,750.0
71,1672,EMPLOYMENT AND LABOUR,PPE001 Surgical masks for patients,Zest Branding SA,N99 Masks,95.0,900.0,Each,2020-04-30,"R85,500.00",,"R85,500",85500,85500.0,Department of employment and labour,PPE001 Surgical masks for patients,1.0,95.0,900.0
72,1673,ILEMBE DISTRICT MUNICIPALITY - KZN,PPE001 Surgical masks for patients,MOTALL ENTERPRISE,0,13.8,10000.0,Each,2020-04-30,"R138,000.00",,R0,0,138000.0,Ilembe district municipality - kzn,PPE001 Surgical masks for patients,1.0,13.8,10000.0
73,1674,MOSSEL BAY MUNICIPALITY,PPE001 Surgical masks for patients,Q Tique 211,0,510.99,400.0,Box of 50,2020-04-30,"R204,396.40",2020-11-05,"R204,396",204396,204396.4,Mossel bay municipality,PPE001 Surgical masks for patients,50.0,10.2198,20000.0
74,1675,ALL WCG DEPARTMENTS,PPE002 Surgical masks for healt care workers,AC DISPOSABLES AND CLEANING PRODUCTS,Mask Surgical/medical,45.0,1000.0,Each,2020-04-30,"R147,975.00",2020-04-06,"R45,000",45000,147975.0,All wcg departments,PPE002 Surgical masks for health care workers,1.0,45.0,1000.0
75,1676,ALL WCG DEPARTMENTS,PPE002 Surgical masks for healt care workers,A&S Suppliers,Mask Surgical/medical,33.5,160000.0,Each,2020-04-30,"R4,170,000.00",2020-04-21,"R2,490,000",2490000,4170000.0,All wcg departments,PPE002 Surgical masks for health care workers,1.0,33.5,160000.0
76,1677,PETROSA,PPE002 Surgical masks for healt care workers,Bernic International,0,9.78,20000.0,Each,2020-04-30,"R195,500.00",2020-01-06,"R195,500",195500,195500.0,Petrosa,PPE002 Surgical masks for health care workers,1.0,9.78,20000.0
77,1709,DUBE TRADEPORT,PPE018 3 Layer fabric cloth masks,Access Medical (Pty),0,16.1,200.0,Each,2020-04-30,"R3,220.00",2020-05-28,"R3,220",3220,3220.0,Dube tradeport,cloth masks,1.0,16.1,200.0
78,1710,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE018 3 Layer fabric cloth masks,Fundam A trading and recycling,0,39.5,500.0,Each,2020-04-30,"R19,750.00",2020-05-19,"R19,750",19750,19750.0,Eastern cape - social development and special programmes,cloth masks,1.0,39.5,500.0
79,1711,KWAZULU NATAL - SPORT AND RECREATION,PPE018 3 Layer fabric cloth masks,Mdibanisi Projects,0,25.0,200.0,Each,2020-04-30,"R5,000.00",2020-03-06,"R5,000",5000,5000.0,Kwazulu natal - sport and recreation,cloth masks,1.0,25.0,200.0
80,1712,NATIONAL SCHOOL OF GOVERNMENT,PPE018 3 Layer fabric cloth masks,Authentic Leather Works and Handmade Shoes,0,25.0,400.0,Each,2020-04-30,"R10,000.00",2020-05-18,"R10,000",10000,10000.0,National school of government,cloth masks,1.0,25.0,400.0
81,1819,SOCIAL DEVELOPMENT,PPE001 Surgical masks for patients,BIOCLIN SOLUTIONS,Surgical face masks,27.6,150.0,Box of 100,2020-03-30,"R4,140.00",,"R4,140",4140,4140.0,Department of social development,PPE001 Surgical masks for patients,100.0,0.276,15000.0
82,1820,CAPE AGULHAS MUNICIPALITY,PPE002 Surgical masks for healt care workers,DEREK CHARLES ZEEMAN,0,900.0,50.0,Box of 50,2020-03-30,"R45,000.00",,"R45,000",45000,45000.0,Cape agulhas municipality,PPE002 Surgical masks for health care workers,50.0,18.0,2500.0
83,1821,KWAZULU NATAL - HEALTH,PPE003 Respirator mask,Andile Ruby Trading,0,49.0,200000.0,Each,2020-03-30,"R9,800,000.00",,"R4,765,180",4765180,9800000.0,Kwazulu natal - health,"respirator masks (FFP2, N95)",1.0,49.0,200000.0
84,1838,BREEDE VALLEY MUNICIPALITY,PPE017 2 Layer fabric cloth masks,AUTO REPAIR IMPORT EXPORT (PTY) LTD,MASK DUSK DISPOSABLE 0194 FFP1 M14,115.0,132.0,Each,2020-03-30,"R15,180.00",2020-04-03,"R15,180",15180,15180.0,Breede valley municipality,cloth masks,1.0,115.0,132.0
85,1839,BREEDE VALLEY MUNICIPALITY,PPE017 2 Layer fabric cloth masks,AUTO REPAIR IMPORT EXPORT (PTY) LTD,MASK DUSK DISPOSABLE 0194 FFP1 M14,27.6,5000.0,Each,2020-03-30,"R138,000.00",2020-06-10,"R138,000",138000,138000.0,Breede valley municipality,cloth masks,1.0,27.6,5000.0
86,1840,BREEDE VALLEY MUNICIPALITY,PPE017 2 Layer fabric cloth masks,AUTO REPAIR IMPORT EXPORT (PTY) LTD,MASK DUSK DISPOSABLE 0194 FFP1 M14,115.0,60.0,Each,2020-03-30,"R6,900.00",2020-04-03,"R6,900",6900,6900.0,Breede valley municipality,cloth masks,1.0,115.0,60.0
87,1841,SOUTH AFRICAN BROADCASTING CORPORATION LIMITED,PPE018 3 Layer fabric cloth masks,Hamisa Safety Equipment Supplies,0,72.0,760.0,Each,2020-03-30,"R54,720.00",2020-04-30,"R62,928",62928,54720.0,South african broadcasting corporation limited,cloth masks,1.0,72.0,760.0
88,1870,TRANSNET SOC LTD,PPE002 Surgical masks for healt care workers,Xtreme Projects,0,4.98,2000.0,Each,2020-12-29,"R9,960.00",,"R9,960",9960,9960.0,Transnet soc ltd,PPE002 Surgical masks for health care workers,1.0,4.98,2000.0
89,1871,UMZIMKHULU MUNICIPALITY,PPE002 Surgical masks for healt care workers,Orap Medical Supplies (Pty) Ltd,0,11.5,2500.0,Each,2020-12-29,"R28,750.00",2121-01-19,"R28,750",28750,28750.0,Umzimkhulu municipality,PPE002 Surgical masks for health care workers,1.0,11.5,2500.0
90,1899,GAUTENG - SOCIAL DEVELOPMENT,PPE001 Surgical masks for patients,Promed Technologies,Not applicable,57.68,200.0,Each,2020-10-29,"R11,536.00",,R0,0,11536.0,Gauteng - social development,PPE001 Surgical masks for patients,1.0,57.68,200.0
91,1909,ETHEKWINI METROPOLITAN MUNICIPALITY,PPE018 3 Layer fabric cloth masks,LUTHULI SOLUTIONS,0,45.0,84.0,Each,2020-10-29,"R3,780.00",,R0,0,3780.0,Ethekwini municipality,cloth masks,1.0,45.0,84.0
92,1910,KWAZULU NATAL - HUMAN SETTLEMENTS,PPE018 3 Layer fabric cloth masks,BESPOKE MANUFACTURERS,0,18.98,5200.0,Each,2020-10-29,"R98,670.00",,R0,0,98670.0,Kwazulu natal - human settlements,cloth masks,1.0,18.98,5200.0
93,1911,KZN DEPARTMENT OF SOCIAL DEVELOPMENT,PPE018 3 Layer fabric cloth masks,Sphephelo Esihle Construction,0,25.0,896.0,Each,2020-10-29,"R22,400.00",,"R22,400",22400,22400.0,Kwazulu natal - social development,cloth masks,1.0,25.0,896.0
94,1974,CITY OF CAPE TOWN,PPE002 Surgical masks for healt care workers,PB CREATIONS,0,177.0,940.0,Box of 50,2020-09-29,"R166,380.00",2020-09-10,"R166,380",166380,166380.0,City of cape town,PPE002 Surgical masks for health care workers,50.0,3.54,47000.0
95,1978,CITY OF CAPE TOWN,PPE018 3 Layer fabric cloth masks,DFA SOLUTIONS,0,21.3,5000.0,Each,2020-09-29,"R106,500.00",2020-09-10,"R106,500",106500,106500.0,City of cape town,cloth masks,1.0,21.3,5000.0
96,1979,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE018 3 Layer fabric cloth masks,Fetch More,0,65.0,60.0,Each,2020-09-29,"R3,900.00",,R0,0,3900.0,Eastern cape - social development and special programmes,cloth masks,1.0,65.0,60.0
97,1980,KWAZULU NATAL - SPORT AND RECREATION,PPE018 3 Layer fabric cloth masks,Senzizinto Zenzeke,0,25.0,100.0,Each,2020-09-29,"R2,500.00",,R0,0,2500.0,Kwazulu natal - sport and recreation,cloth masks,1.0,25.0,100.0
98,1981,KWAZULU NATAL - SPORT AND RECREATION,PPE018 3 Layer fabric cloth masks,Senzizinto Zenzeke,0,50.0,100.0,Each,2020-09-29,"R5,000.00",2020-10-16,R0,0,5000.0,Kwazulu natal - sport and recreation,cloth masks,1.0,50.0,100.0
99,2076,GAUTENG - HEALTH,Mask face 3ply loops with tie disposable,SHALOM WOMEN'S PROJECTS,0,23.0,500000.0,Each,2020-07-29,"R11,500,000.00",,R0,0,11500000.0,Gauteng - health,Uncategorized masks,1.0,23.0,500000.0
