No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,Cleaned_name,legend_institution,pay_label,order_label
35372,NATIONAL DEPARTMENT OF HEALTH,Other,Samrc,Vaccine research,150000000,1,Other UOM,,R0.00,15/03/2021,"R150,000,000",150000000,0,Department of health,Department Of Health,150M,0
35373,NATIONAL DEPARTMENT OF HEALTH,Other,Serum Life Sciences,Vaccines,125369890,0,Each,,R0.00,3/1/2021,"R125,369,890",125369890,0,Department of health,Department Of Health,130M,0
35374,NATIONAL DEPARTMENT OF HEALTH,Other,Jansen Pharmaceutical Companies,Vaccines,414700000,0,Each,,R0.00,3/12/2021,"R414,700,000",414700000,0,Department of health,Department Of Health,410M,0
35887,WESTERN CAPE - TRANSPORT AND PUBLIC WORKS,Other,Umanyano Travel Services,Transport and Storage,,0,Other UOM,,R0.00,,"R57,370,319",57370319,0,Western cape - transport and public works,Wc-Transport And Public Works,57M,0
43002,SA POLICE SERVICE,PPE020 Hand sanitisers and disinfectants,Red Roses Arica (Mainstreet 699),0,5405,90000,25 Litre,4/1/2020,"R486,450,000.00",19/05/2020,"R486,450,000",486450000,486450000,Sa police service,Sa Police Service,490M,490M
43155,SA POLICE SERVICE,PPE001 Surgical masks for patients,Before Sunset,0,30,2000000,Box of 50,4/3/2020,"R60,000,000.00",28/04/2020,"R60,000,000",60000000,60000000,Sa police service,Sa Police Service,60M,60M
43156,SA POLICE SERVICE,PPE001 Surgical masks for patients,Tombo Investments,0,30,2000000,Box of 50,4/3/2020,"R60,000,000.00",29/04/2020,"R60,000,000",60000000,60000000,Sa police service,Sa Police Service,60M,60M
43406,KWAZULU NATAL - HEALTH,Infrastructure,Highpana Projects,"Richmond - Richmond Chest Hospital - Conversion of  Ward A4, B1 and B5 into Isolation Wards",80000000,1,per m2,4/7/2020,"R80,000,000.00",7/2/2020,"R59,745,550",59745550,80000000,Kwazulu natal - health,Kwazulu Natal - Health,60M,80M
43554,KWAZULU NATAL - HEALTH,Infrastructure,Enza Construction,Ulundi - St Francis Hospital - Upgrade Existing TB Wards to Isolation Ward and Auxilarary building to Quarantine Ward,62357466.6,1,per m2,4/8/2020,"R62,357,466.60",,"R62,357,467",62357467,62357466.6,Kwazulu natal - health,Kwazulu Natal - Health,62M,62M
43555,KWAZULU NATAL - HEALTH,Infrastructure,Enza Construction,Vryheid - Siloah Lutheran Mission Hospital - Upgrade Existing Wards to 11 bed Isolation Ward and upgrade exisiting Nurses Home,52303720.4,1,per m2,4/8/2020,"R52,303,720.40",,"R52,303,720",52303720,52303720.4,Kwazulu natal - health,Kwazulu Natal - Health,52M,52M
43639,GAUTENG - HEALTH,Gown surgical xx-large 140x165cm,Nkhane Projects And Supply,0,172.5,750000,Each,4/9/2020,"R129,375,000.00",,"R50,679,026",50679026,129375000,Gauteng - health,Gauteng - Health,51M,130M
43727,HEALTH,Other,Pfizer Laboratories,Vaccines,166.81,4000460,Each,4/9/2021,"R667,330,449.72",14/04/2021,"R667,328,169",667328169,667330449.7,Department of health,Department Of Health,670M,670M
43728,HEALTH,Other,Pfizer Laboratories,Vaccines,133.46,4484610,Each,4/9/2021,"R598,506,902.58",14/04/2021,"R598,506,902",598506902,598506902.6,Department of health,Department Of Health,600M,600M
44065,GAUTENG - HEALTH,Gown surgical xx-large 140x165cm,Lmd Engineering,0,149.5,150000,Each,5/5/2020,"R22,425,000.00",,"R67,845,000",67845000,22425000,Gauteng - health,Gauteng - Health,68M,22M
44455,GAUTENG - HEALTH,Dusks mask various sizes 2020 FFP2,Beadica 423,0,41.36,100000,Each,5/7/2020,"R4,136,000.00",,"R59,636,000",59636000,4136000,Gauteng - health,Gauteng - Health,60M,4.1M
45044,KWAZULU NATAL - HEALTH,Infrastructure,Leomat Jjs Jv,0,53400000,1,Each,5/11/2020,"R53,400,000.00",,"R53,400,000",53400000,53400000,Kwazulu natal - health,Kwazulu Natal - Health,53M,53M
